RF,nodes Count,
RF_10_pruned_with_sigma_0_2_t6,532,
RF_10_pruned_with_sigma_0_3_t6,422,
RF_10_t7,30,
RF_10_pruned_with_sigma_0_0_t7,382,
RF_10_pruned_with_sigma_0_1_t7,646,
RF_10_pruned_with_sigma_0_2_t7,491,
RF_10_pruned_with_sigma_0_3_t7,414,
RF_10_t8,16,
RF_10_pruned_with_sigma_0_0_t8,319,
RF_10_pruned_with_sigma_0_1_t8,581,
RF_10_pruned_with_sigma_0_2_t8,456,
RF_10_pruned_with_sigma_0_3_t8,401,
RF_10_t9,8,
RF_10_pruned_with_sigma_0_0_t9,274,
RF_10_pruned_with_sigma_0_1_t9,544,
RF_10_pruned_with_sigma_0_2_t9,435,
RF_10_pruned_with_sigma_0_3_t9,395,
RF_10_t10,3,
RF_10_pruned_with_sigma_0_0_t10,239,
RF_10_pruned_with_sigma_0_1_t10,489,
RF_10_pruned_with_sigma_0_2_t10,408,
RF_10_pruned_with_sigma_0_3_t10,381,
RF_10_t11,2,
RF_10_pruned_with_sigma_0_0_t11,205,
RF_10_pruned_with_sigma_0_1_t11,447,
RF_10_pruned_with_sigma_0_2_t11,387,
RF_10_pruned_with_sigma_0_3_t11,374,
RF_10_t12,1,
RF_10_pruned_with_sigma_0_0_t12,169,
RF_10_pruned_with_sigma_0_1_t12,413,
RF_10_pruned_with_sigma_0_2_t12,369,
RF_10_pruned_with_sigma_0_3_t12,357,
RF_10_t13,1,
RF_10_pruned_with_sigma_0_0_t13,118,
RF_10_pruned_with_sigma_0_1_t13,382,
RF_10_pruned_with_sigma_0_2_t13,349,
RF_10_pruned_with_sigma_0_3_t13,345,
RF_10_t14,1,
RF_10_pruned_with_sigma_0_0_t14,78,
RF_10_pruned_with_sigma_0_1_t14,363,
RF_10_pruned_with_sigma_0_2_t14,338,
RF_10_pruned_with_sigma_0_3_t14,340,
RF_10_t15,1,
RF_10_pruned_with_sigma_0_0_t15,55,
RF_10_pruned_with_sigma_0_1_t15,335,
RF_10_pruned_with_sigma_0_2_t15,332,
RF_10_pruned_with_sigma_0_3_t15,333,
RF_10_t16,1,
RF_10_pruned_with_sigma_0_0_t16,35,
RF_10_pruned_with_sigma_0_1_t16,300,
RF_10_pruned_with_sigma_0_2_t16,317,
RF_10_pruned_with_sigma_0_3_t16,316,
RF_10_t17,1,
RF_10_pruned_with_sigma_0_0_t17,20,
RF_10_pruned_with_sigma_0_1_t17,281,
RF_10_pruned_with_sigma_0_2_t17,297,
RF_10_pruned_with_sigma_0_3_t17,306,
RF_10_t18,1,
RF_10_pruned_with_sigma_0_0_t18,13,
RF_10_pruned_with_sigma_0_1_t18,260,
RF_10_pruned_with_sigma_0_2_t18,283,
RF_10_pruned_with_sigma_0_3_t18,292,
RF_10_t19,1,
RF_10_pruned_with_sigma_0_0_t19,8,
RF_10_pruned_with_sigma_0_1_t19,233,
