RF,nodes Count,
RF_10_pruned_with_sigma_0_2_t6,98,
RF_10_pruned_with_sigma_0_3_t6,78,
RF_10_t7,19,
RF_10_pruned_with_sigma_0_0_t7,72,
RF_10_pruned_with_sigma_0_1_t7,111,
RF_10_pruned_with_sigma_0_2_t7,88,
RF_10_pruned_with_sigma_0_3_t7,75,
RF_10_t8,9,
RF_10_pruned_with_sigma_0_0_t8,57,
RF_10_pruned_with_sigma_0_1_t8,97,
RF_10_pruned_with_sigma_0_2_t8,84,
RF_10_pruned_with_sigma_0_3_t8,69,
RF_10_t9,6,
RF_10_pruned_with_sigma_0_0_t9,43,
RF_10_pruned_with_sigma_0_1_t9,87,
RF_10_pruned_with_sigma_0_2_t9,76,
RF_10_pruned_with_sigma_0_3_t9,66,
RF_10_t10,6,
RF_10_pruned_with_sigma_0_0_t10,39,
RF_10_pruned_with_sigma_0_1_t10,77,
RF_10_pruned_with_sigma_0_2_t10,69,
RF_10_pruned_with_sigma_0_3_t10,61,
RF_10_t11,5,
RF_10_pruned_with_sigma_0_0_t11,34,
RF_10_pruned_with_sigma_0_1_t11,65,
RF_10_pruned_with_sigma_0_2_t11,63,
RF_10_pruned_with_sigma_0_3_t11,55,
RF_10_t12,2,
RF_10_pruned_with_sigma_0_0_t12,25,
RF_10_pruned_with_sigma_0_1_t12,54,
RF_10_pruned_with_sigma_0_2_t12,61,
RF_10_pruned_with_sigma_0_3_t12,54,
RF_10_t13,2,
RF_10_pruned_with_sigma_0_0_t13,24,
RF_10_pruned_with_sigma_0_1_t13,47,
RF_10_pruned_with_sigma_0_2_t13,59,
RF_10_pruned_with_sigma_0_3_t13,49,
RF_10_t14,2,
RF_10_pruned_with_sigma_0_0_t14,22,
RF_10_pruned_with_sigma_0_1_t14,44,
RF_10_pruned_with_sigma_0_2_t14,51,
RF_10_pruned_with_sigma_0_3_t14,46,
RF_10_t15,1,
RF_10_pruned_with_sigma_0_0_t15,17,
RF_10_pruned_with_sigma_0_1_t15,38,
RF_10_pruned_with_sigma_0_2_t15,46,
RF_10_pruned_with_sigma_0_3_t15,45,
RF_10_t16,1,
RF_10_pruned_with_sigma_0_0_t16,14,
RF_10_pruned_with_sigma_0_1_t16,36,
RF_10_pruned_with_sigma_0_2_t16,42,
RF_10_pruned_with_sigma_0_3_t16,42,
RF_10_t17,1,
RF_10_pruned_with_sigma_0_0_t17,12,
RF_10_pruned_with_sigma_0_1_t17,29,
RF_10_pruned_with_sigma_0_2_t17,41,
RF_10_pruned_with_sigma_0_3_t17,39,
RF_10_t18,1,
RF_10_pruned_with_sigma_0_0_t18,8,
RF_10_pruned_with_sigma_0_1_t18,27,
RF_10_pruned_with_sigma_0_2_t18,38,
RF_10_pruned_with_sigma_0_3_t18,36,
RF_10_t19,1,
RF_10_pruned_with_sigma_0_0_t19,7,
RF_10_pruned_with_sigma_0_1_t19,24,
RF_10_pruned_with_sigma_0_2_t19,34,
RF_10_pruned_with_sigma_0_3_t19,33,
RF_10_t20,1,
RF_10_pruned_with_sigma_0_0_t20,6,
RF_10_pruned_with_sigma_0_1_t20,20,
RF_10_pruned_with_sigma_0_2_t20,31,
RF_10_pruned_with_sigma_0_3_t20,30,
RF_10_t21,1,
RF_10_pruned_with_sigma_0_0_t21,4,
RF_10_pruned_with_sigma_0_1_t21,18,
RF_10_pruned_with_sigma_0_2_t21,27,
RF_10_pruned_with_sigma_0_3_t21,28,
RF_10_t22,1,
RF_10_pruned_with_sigma_0_0_t22,3,
RF_10_pruned_with_sigma_0_1_t22,16,
RF_10_pruned_with_sigma_0_2_t22,19,
RF_10_pruned_with_sigma_0_3_t22,22,
RF_10_t23,1,
RF_10_pruned_with_sigma_0_0_t23,2,
RF_10_pruned_with_sigma_0_1_t23,10,
RF_10_pruned_with_sigma_0_2_t23,15,
RF_10_pruned_with_sigma_0_3_t23,20,
RF_10_t24,1,
RF_10_pruned_with_sigma_0_0_t24,1,
RF_10_pruned_with_sigma_0_1_t24,7,
RF_10_pruned_with_sigma_0_2_t24,11,
RF_10_pruned_with_sigma_0_3_t24,15,
RF_10_t25,1,
RF_10_pruned_with_sigma_0_0_t25,1,
RF_10_pruned_with_sigma_0_1_t25,4,
RF_10_pruned_with_sigma_0_2_t25,4,
RF_10_pruned_with_sigma_0_3_t25,6,
RF_15_t2,1057,
RF_15_pruned_with_sigma_0_0_t2,982,
