RF,nodes Count,accuracy,
RF_5_t22_pruned_with_sigma_0_1,2,0.791132314664833,
RF_5_t22_pruned_with_sigma_0_2,2,0.7587501875592954,
RF_5_t22_pruned_with_sigma_0_3,1,0.6059553473007412,
RF_5_t23,1,0.6059553473007412,
RF_5_t23_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t23_pruned_with_sigma_0_1,1,0.6059553473007412,
RF_5_t23_pruned_with_sigma_0_2,1,0.6059553473007412,
RF_5_t23_pruned_with_sigma_0_3,1,0.6059553473007412,
RF_5_t24,1,0.6059553473007412,
RF_5_t24_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t24_pruned_with_sigma_0_1,1,0.6059553473007412,
RF_5_t24_pruned_with_sigma_0_2,1,0.6059553473007412,
RF_5_t24_pruned_with_sigma_0_3,1,0.6059553473007412,
RF_5_t25,1,0.6059553473007412,
RF_5_t25_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_5_t25_pruned_with_sigma_0_1,1,0.6059553473007412,
RF_5_t25_pruned_with_sigma_0_2,1,0.6059553473007412,
RF_5_t25_pruned_with_sigma_0_3,1,0.6059553473007412,
RF_10_t2,522,0.9195622868174466,
RF_10_t2_pruned_with_sigma_0_0,587,0.9236967434980429,
RF_10_t2_pruned_with_sigma_0_1,640,0.8950005848305587,
RF_10_t2_pruned_with_sigma_0_2,853,0.8591600415406917,
RF_10_t2_pruned_with_sigma_0_3,1069,0.8226519643808654,
RF_10_t3,186,0.9213000015359185,
RF_10_t3_pruned_with_sigma_0_0,336,0.9239176794868614,
RF_10_t3_pruned_with_sigma_0_1,259,0.9306513830947342,
RF_10_t3_pruned_with_sigma_0_2,274,0.9171721611202281,
RF_10_t3_pruned_with_sigma_0_3,312,0.9113136948413219,
RF_10_t4,76,0.9139148321300002,
RF_10_t4_pruned_with_sigma_0_0,215,0.929129405871226,
RF_10_t4_pruned_with_sigma_0_1,172,0.9273898007913525,
RF_10_t4_pruned_with_sigma_0_2,137,0.9223876682273963,
RF_10_t4_pruned_with_sigma_0_3,139,0.921527553789643,
RF_10_t5,44,0.9076111857410039,
RF_10_t5_pruned_with_sigma_0_0,145,0.925215412589098,
RF_10_t5_pruned_with_sigma_0_1,133,0.9243467915250372,
RF_10_t5_pruned_with_sigma_0_2,103,0.9171679078070746,
RF_10_t5_pruned_with_sigma_0_3,93,0.9056506446723116,
RF_10_t6,30,0.9060910988788976,
RF_10_t6_pruned_with_sigma_0_0,101,0.913890730022129,
RF_10_t6_pruned_with_sigma_0_1,124,0.9215190471633354,
RF_10_t6_pruned_with_sigma_0_2,98,0.9128210217639671,
RF_10_t6_pruned_with_sigma_0_3,78,0.8960830530281818,
RF_10_t7,19,0.8789051026761611,
RF_10_t7_pruned_with_sigma_0_0,72,0.9054126954308783,
RF_10_t7_pruned_with_sigma_0_1,111,0.9147848709651122,
RF_10_t7_pruned_with_sigma_0_2,88,0.9017385417515852,
RF_10_t7_pruned_with_sigma_0_3,75,0.886088712297628,
RF_10_t8,9,0.8676196451082763,
RF_10_t8_pruned_with_sigma_0_0,57,0.9138987640580861,
RF_10_t8_pruned_with_sigma_0_1,97,0.9165150242379776,
RF_10_t8_pruned_with_sigma_0_2,84,0.8982593315918379,
RF_10_t8_pruned_with_sigma_0_3,69,0.9015289479311767,
RF_10_t9,6,0.8810917782275263,
RF_10_t9_pruned_with_sigma_0_0,43,0.9102151585717847,
RF_10_t9_pruned_with_sigma_0_1,87,0.9141239533600583,
RF_10_t9_pruned_with_sigma_0_2,76,0.891089427090533,
RF_10_t9_pruned_with_sigma_0_3,66,0.9002245985640341,
RF_10_t10,6,0.8810917782275263,
RF_10_t10_pruned_with_sigma_0_0,39,0.9097832109915064,
RF_10_t10_pruned_with_sigma_0_1,77,0.9130395948010335,
RF_10_t10_pruned_with_sigma_0_2,69,0.9071759300282727,
RF_10_t10_pruned_with_sigma_0_3,61,0.901523749437322,
RF_10_t11,5,0.8782654516368759,
RF_10_t11_pruned_with_sigma_0_0,34,0.9078221973324638,
RF_10_t11_pruned_with_sigma_0_1,65,0.9128214943543176,
RF_10_t11_pruned_with_sigma_0_2,63,0.9086974346614303,
RF_10_t11_pruned_with_sigma_0_3,55,0.9021813589099231,
RF_10_t12,2,0.6557571547225363,
RF_10_t12_pruned_with_sigma_0_0,25,0.9115299049266362,
RF_10_t12_pruned_with_sigma_0_1,54,0.9130391222106832,
RF_10_t12_pruned_with_sigma_0_2,61,0.9110870877682984,
RF_10_t12_pruned_with_sigma_0_3,54,0.9050072129102231,
RF_10_t13,2,0.6557571547225363,
RF_10_t13_pruned_with_sigma_0_0,24,0.9154391723052603,
RF_10_t13_pruned_with_sigma_0_1,47,0.9093441745559719,
RF_10_t13_pruned_with_sigma_0_2,59,0.9076107131506536,
RF_10_t13_pruned_with_sigma_0_3,49,0.9021832492713248,
RF_10_t14,2,0.6557571547225363,
RF_10_t14_pruned_with_sigma_0_0,22,0.9139105788168465,
RF_10_t14_pruned_with_sigma_0_1,44,0.9126095375821569,
RF_10_t14_pruned_with_sigma_0_2,51,0.9071754574379224,
RF_10_t14_pruned_with_sigma_0_3,46,0.8989249751003958,
RF_10_t15,1,0.6059553473007412,
RF_10_t15_pruned_with_sigma_0_0,17,0.8810837441915693,
RF_10_t15_pruned_with_sigma_0_1,38,0.9115223434810297,
RF_10_t15_pruned_with_sigma_0_2,46,0.9032609915654437,
