RF,nodes Count,
RF_10_pruned_with_sigma_0_2_t6,282,
RF_10_pruned_with_sigma_0_3_t6,211,
RF_10_t7,102,
RF_10_pruned_with_sigma_0_0_t7,173,
RF_10_pruned_with_sigma_0_1_t7,274,
RF_10_pruned_with_sigma_0_2_t7,248,
RF_10_pruned_with_sigma_0_3_t7,203,
RF_10_t8,51,
RF_10_pruned_with_sigma_0_0_t8,95,
RF_10_pruned_with_sigma_0_1_t8,215,
RF_10_pruned_with_sigma_0_2_t8,224,
RF_10_pruned_with_sigma_0_3_t8,183,
RF_10_t9,21,
RF_10_pruned_with_sigma_0_0_t9,48,
RF_10_pruned_with_sigma_0_1_t9,158,
RF_10_pruned_with_sigma_0_2_t9,198,
RF_10_pruned_with_sigma_0_3_t9,166,
RF_10_t10,15,
RF_10_pruned_with_sigma_0_0_t10,31,
RF_10_pruned_with_sigma_0_1_t10,107,
RF_10_pruned_with_sigma_0_2_t10,168,
RF_10_pruned_with_sigma_0_3_t10,153,
RF_10_t11,7,
RF_10_pruned_with_sigma_0_0_t11,15,
RF_10_pruned_with_sigma_0_1_t11,83,
RF_10_pruned_with_sigma_0_2_t11,132,
RF_10_pruned_with_sigma_0_3_t11,136,
RF_10_t12,4,
RF_10_pruned_with_sigma_0_0_t12,7,
RF_10_pruned_with_sigma_0_1_t12,61,
RF_10_pruned_with_sigma_0_2_t12,111,
RF_10_pruned_with_sigma_0_3_t12,122,
RF_10_t13,2,
RF_10_pruned_with_sigma_0_0_t13,2,
RF_10_pruned_with_sigma_0_1_t13,44,
RF_10_pruned_with_sigma_0_2_t13,85,
RF_10_pruned_with_sigma_0_3_t13,104,
RF_10_t14,1,
RF_10_pruned_with_sigma_0_0_t14,2,
RF_10_pruned_with_sigma_0_1_t14,33,
RF_10_pruned_with_sigma_0_2_t14,75,
RF_10_pruned_with_sigma_0_3_t14,91,
RF_10_t15,1,
RF_10_pruned_with_sigma_0_0_t15,2,
RF_10_pruned_with_sigma_0_1_t15,28,
RF_10_pruned_with_sigma_0_2_t15,62,
RF_10_pruned_with_sigma_0_3_t15,76,
RF_10_t16,1,
RF_10_pruned_with_sigma_0_0_t16,2,
RF_10_pruned_with_sigma_0_1_t16,21,
RF_10_pruned_with_sigma_0_2_t16,47,
RF_10_pruned_with_sigma_0_3_t16,67,
RF_10_t17,1,
RF_10_pruned_with_sigma_0_0_t17,2,
RF_10_pruned_with_sigma_0_1_t17,17,
RF_10_pruned_with_sigma_0_2_t17,39,
RF_10_pruned_with_sigma_0_3_t17,50,
RF_10_t18,1,
RF_10_pruned_with_sigma_0_0_t18,1,
RF_10_pruned_with_sigma_0_1_t18,10,
RF_10_pruned_with_sigma_0_2_t18,32,
RF_10_pruned_with_sigma_0_3_t18,44,
RF_10_t19,1,
RF_10_pruned_with_sigma_0_0_t19,1,
RF_10_pruned_with_sigma_0_1_t19,8,
RF_10_pruned_with_sigma_0_2_t19,25,
RF_10_pruned_with_sigma_0_3_t19,37,
RF_10_t20,1,
RF_10_pruned_with_sigma_0_0_t20,1,
RF_10_pruned_with_sigma_0_1_t20,6,
RF_10_pruned_with_sigma_0_2_t20,21,
RF_10_pruned_with_sigma_0_3_t20,34,
RF_10_t21,1,
RF_10_pruned_with_sigma_0_0_t21,1,
RF_10_pruned_with_sigma_0_1_t21,5,
RF_10_pruned_with_sigma_0_2_t21,18,
RF_10_pruned_with_sigma_0_3_t21,30,
RF_10_t22,1,
RF_10_pruned_with_sigma_0_0_t22,1,
RF_10_pruned_with_sigma_0_1_t22,5,
RF_10_pruned_with_sigma_0_2_t22,12,
RF_10_pruned_with_sigma_0_3_t22,22,
RF_10_t23,1,
RF_10_pruned_with_sigma_0_0_t23,1,
RF_10_pruned_with_sigma_0_1_t23,4,
RF_10_pruned_with_sigma_0_2_t23,9,
RF_10_pruned_with_sigma_0_3_t23,17,
RF_10_t24,1,
RF_10_pruned_with_sigma_0_0_t24,1,
RF_10_pruned_with_sigma_0_1_t24,3,
RF_10_pruned_with_sigma_0_2_t24,5,
RF_10_pruned_with_sigma_0_3_t24,12,
RF_10_t25,1,
RF_10_pruned_with_sigma_0_0_t25,1,
RF_10_pruned_with_sigma_0_1_t25,2,
RF_10_pruned_with_sigma_0_2_t25,3,
RF_10_pruned_with_sigma_0_3_t25,5,
RF_15_t2,1535,
RF_15_pruned_with_sigma_0_0_t2,1315,
RF_15_pruned_with_sigma_0_1_t2,1026,
RF_15_pruned_with_sigma_0_2_t2,1148,
RF_15_pruned_with_sigma_0_3_t2,1457,
RF_15_t3,1168,
RF_15_pruned_with_sigma_0_0_t3,1072,
RF_15_pruned_with_sigma_0_1_t3,746,
RF_15_pruned_with_sigma_0_2_t3,522,
RF_15_pruned_with_sigma_0_3_t3,484,
RF_15_t4,906,
RF_15_pruned_with_sigma_0_0_t4,889,
RF_15_pruned_with_sigma_0_1_t4,664,
RF_15_pruned_with_sigma_0_2_t4,427,
RF_15_pruned_with_sigma_0_3_t4,345,
RF_15_t5,682,
RF_15_pruned_with_sigma_0_0_t5,723,
RF_15_pruned_with_sigma_0_1_t5,609,
RF_15_pruned_with_sigma_0_2_t5,401,
RF_15_pruned_with_sigma_0_3_t5,320,
RF_15_t6,502,
RF_15_pruned_with_sigma_0_0_t6,576,
RF_15_pruned_with_sigma_0_1_t6,523,
RF_15_pruned_with_sigma_0_2_t6,379,
RF_15_pruned_with_sigma_0_3_t6,297,
RF_15_t7,338,
RF_15_pruned_with_sigma_0_0_t7,431,
RF_15_pruned_with_sigma_0_1_t7,445,
RF_15_pruned_with_sigma_0_2_t7,353,
RF_15_pruned_with_sigma_0_3_t7,281,
RF_15_t8,208,
RF_15_pruned_with_sigma_0_0_t8,306,
RF_15_pruned_with_sigma_0_1_t8,364,
RF_15_pruned_with_sigma_0_2_t8,322,
RF_15_pruned_with_sigma_0_3_t8,263,
RF_15_t9,133,
RF_15_pruned_with_sigma_0_0_t9,225,
RF_15_pruned_with_sigma_0_1_t9,305,
RF_15_pruned_with_sigma_0_2_t9,304,
RF_15_pruned_with_sigma_0_3_t9,244,
RF_15_t10,91,
RF_15_pruned_with_sigma_0_0_t10,139,
RF_15_pruned_with_sigma_0_1_t10,258,
RF_15_pruned_with_sigma_0_2_t10,267,
RF_15_pruned_with_sigma_0_3_t10,227,
RF_15_t11,49,
RF_15_pruned_with_sigma_0_0_t11,89,
RF_15_pruned_with_sigma_0_1_t11,191,
RF_15_pruned_with_sigma_0_2_t11,230,
RF_15_pruned_with_sigma_0_3_t11,203,
RF_15_t12,27,
RF_15_pruned_with_sigma_0_0_t12,54,
RF_15_pruned_with_sigma_0_1_t12,150,
RF_15_pruned_with_sigma_0_2_t12,186,
RF_15_pruned_with_sigma_0_3_t12,181,
RF_15_t13,12,
RF_15_pruned_with_sigma_0_0_t13,31,
RF_15_pruned_with_sigma_0_1_t13,114,
RF_15_pruned_with_sigma_0_2_t13,154,
RF_15_pruned_with_sigma_0_3_t13,163,
RF_15_t14,7,
RF_15_pruned_with_sigma_0_0_t14,19,
RF_15_pruned_with_sigma_0_1_t14,95,
RF_15_pruned_with_sigma_0_2_t14,124,
RF_15_pruned_with_sigma_0_3_t14,142,
RF_15_t15,4,
RF_15_pruned_with_sigma_0_0_t15,8,
RF_15_pruned_with_sigma_0_1_t15,72,
RF_15_pruned_with_sigma_0_2_t15,93,
RF_15_pruned_with_sigma_0_3_t15,121,
RF_15_t16,1,
RF_15_pruned_with_sigma_0_0_t16,3,
RF_15_pruned_with_sigma_0_1_t16,51,
RF_15_pruned_with_sigma_0_2_t16,74,
RF_15_pruned_with_sigma_0_3_t16,99,
RF_15_t17,1,
RF_15_pruned_with_sigma_0_0_t17,2,
RF_15_pruned_with_sigma_0_1_t17,43,
RF_15_pruned_with_sigma_0_2_t17,57,
RF_15_pruned_with_sigma_0_3_t17,80,
RF_15_t18,1,
RF_15_pruned_with_sigma_0_0_t18,1,
RF_15_pruned_with_sigma_0_1_t18,31,
RF_15_pruned_with_sigma_0_2_t18,47,
RF_15_pruned_with_sigma_0_3_t18,66,
RF_15_t19,1,
RF_15_pruned_with_sigma_0_0_t19,1,
RF_15_pruned_with_sigma_0_1_t19,22,
RF_15_pruned_with_sigma_0_2_t19,43,
RF_15_pruned_with_sigma_0_3_t19,55,
