RF,nodes Count,accuracy,
RF_5_t22_pruned_with_sigma_0_1,1,0.09871666434732093,
RF_5_t22_pruned_with_sigma_0_2,1,0.09871666434732093,
RF_5_t22_pruned_with_sigma_0_3,1,0.09871666434732093,
RF_5_t23,1,0.09871666434732093,
RF_5_t23_pruned_with_sigma_0_0,1,0.09871666434732093,
RF_5_t23_pruned_with_sigma_0_1,1,0.09871666434732093,
RF_5_t23_pruned_with_sigma_0_2,1,0.09871666434732093,
RF_5_t23_pruned_with_sigma_0_3,1,0.09871666434732093,
RF_5_t24,1,0.09871666434732093,
RF_5_t24_pruned_with_sigma_0_0,1,0.09871666434732093,
RF_5_t24_pruned_with_sigma_0_1,1,0.09871666434732093,
RF_5_t24_pruned_with_sigma_0_2,1,0.09871666434732093,
RF_5_t24_pruned_with_sigma_0_3,1,0.09871666434732093,
RF_5_t25,1,0.09871666434732093,
RF_5_t25_pruned_with_sigma_0_0,1,0.09871666434732093,
RF_5_t25_pruned_with_sigma_0_1,1,0.09871666434732093,
RF_5_t25_pruned_with_sigma_0_2,1,0.09871666434732093,
RF_5_t25_pruned_with_sigma_0_3,1,0.09871666434732093,
RF_10_t2,2946,0.733350186124619,
RF_10_t2_pruned_with_sigma_0_0,4752,0.706150756311372,
RF_10_t2_pruned_with_sigma_0_1,2091,0.8037842580570118,
RF_10_t2_pruned_with_sigma_0_2,2225,0.763134035573618,
RF_10_t2_pruned_with_sigma_0_3,2287,0.7481003831575439,
RF_10_t3,837,0.7646677786453182,
RF_10_t3_pruned_with_sigma_0_0,2589,0.6841175228567323,
RF_10_t3_pruned_with_sigma_0_1,1052,0.7094504661892556,
RF_10_t3_pruned_with_sigma_0_2,753,0.7137337000558668,
RF_10_t3_pruned_with_sigma_0_3,603,0.751783360985534,
RF_10_t4,332,0.760600239464216,
RF_10_t4_pruned_with_sigma_0_0,1342,0.6750176495188253,
RF_10_t4_pruned_with_sigma_0_1,911,0.6459330700505509,
RF_10_t4_pruned_with_sigma_0_2,630,0.630983505225154,
RF_10_t4_pruned_with_sigma_0_3,477,0.6503497535623881,
RF_10_t5,165,0.7690339470793747,
RF_10_t5_pruned_with_sigma_0_0,730,0.7214168851899145,
RF_10_t5_pruned_with_sigma_0_1,800,0.6477332367235089,
RF_10_t5_pruned_with_sigma_0_2,577,0.6201169974024308,
RF_10_t5_pruned_with_sigma_0_3,443,0.6390993374715386,
RF_10_t6,76,0.7430839339987294,
RF_10_t6_pruned_with_sigma_0_0,504,0.7171830932045307,
RF_10_t6_pruned_with_sigma_0_1,717,0.6659669478513532,
RF_10_t6_pruned_with_sigma_0_2,532,0.6433672199436578,
RF_10_t6_pruned_with_sigma_0_3,422,0.6490827117366621,
RF_10_t7,30,0.6276670612356416,
RF_10_t7_pruned_with_sigma_0_0,382,0.7097164468854267,
RF_10_t7_pruned_with_sigma_0_1,646,0.6360327622215441,
RF_10_t7_pruned_with_sigma_0_2,491,0.6488503187539636,
RF_10_t7_pruned_with_sigma_0_3,414,0.6533165814834565,
RF_10_t8,16,0.5683328655156143,
RF_10_t8_pruned_with_sigma_0_0,319,0.7363845849294289,
RF_10_t8_pruned_with_sigma_0_1,581,0.6376659734509179,
RF_10_t8_pruned_with_sigma_0_2,456,0.6571000541345684,
RF_10_t8_pruned_with_sigma_0_3,401,0.6540332718298643,
RF_10_t9,8,0.5407170314402563,
RF_10_t9_pruned_with_sigma_0_0,274,0.7457345773522772,
RF_10_t9_pruned_with_sigma_0_1,544,0.6601666932079349,
RF_10_t9_pruned_with_sigma_0_2,435,0.6626340115608336,
RF_10_t9_pruned_with_sigma_0_3,395,0.6560331094794942,
RF_10_t10,3,0.26515104051518384,
RF_10_t10_pruned_with_sigma_0_0,239,0.7389016326055732,
RF_10_t10_pruned_with_sigma_0_1,489,0.6529500703707151,
RF_10_t10_pruned_with_sigma_0_2,408,0.6537505676698244,
RF_10_t10_pruned_with_sigma_0_3,381,0.6736835886595284,
