RF,nodes Count,accuracy,
RF_5_t16_pruned_with_sigma_0_2,3,0.48364807236319607,
RF_5_t16_pruned_with_sigma_0_3,3,0.4841033702013581,
RF_5_t17,1,0.24171349360811673,
RF_5_t17_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_5_t17_pruned_with_sigma_0_1,1,0.24171349360811673,
RF_5_t17_pruned_with_sigma_0_2,2,0.32829158886669196,
RF_5_t17_pruned_with_sigma_0_3,2,0.32829158886669196,
RF_5_t18,1,0.24171349360811673,
RF_5_t18_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_5_t18_pruned_with_sigma_0_1,1,0.24171349360811673,
RF_5_t18_pruned_with_sigma_0_2,2,0.32829158886669196,
RF_5_t18_pruned_with_sigma_0_3,2,0.32829158886669196,
RF_5_t19,1,0.24171349360811673,
RF_5_t19_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_5_t19_pruned_with_sigma_0_1,1,0.24171349360811673,
RF_5_t19_pruned_with_sigma_0_2,2,0.32829158886669196,
RF_5_t19_pruned_with_sigma_0_3,2,0.32829158886669196,
RF_5_t20,1,0.24171349360811673,
RF_5_t20_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_5_t20_pruned_with_sigma_0_1,1,0.24171349360811673,
RF_5_t20_pruned_with_sigma_0_2,1,0.24171349360811673,
RF_5_t20_pruned_with_sigma_0_3,2,0.32829158886669196,
RF_5_t21,1,0.24171349360811673,
RF_5_t21_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_5_t21_pruned_with_sigma_0_1,1,0.24171349360811673,
RF_5_t21_pruned_with_sigma_0_2,1,0.24171349360811673,
RF_5_t21_pruned_with_sigma_0_3,2,0.32829158886669196,
RF_5_t22,1,0.24171349360811673,
RF_5_t22_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_5_t22_pruned_with_sigma_0_1,1,0.24171349360811673,
RF_5_t22_pruned_with_sigma_0_2,1,0.24171349360811673,
RF_5_t22_pruned_with_sigma_0_3,1,0.24171349360811673,
RF_5_t23,1,0.24171349360811673,
RF_5_t23_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_5_t23_pruned_with_sigma_0_1,1,0.24171349360811673,
RF_5_t23_pruned_with_sigma_0_2,1,0.24171349360811673,
RF_5_t23_pruned_with_sigma_0_3,1,0.24171349360811673,
RF_5_t24,1,0.24171349360811673,
RF_5_t24_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_5_t24_pruned_with_sigma_0_1,1,0.24171349360811673,
RF_5_t24_pruned_with_sigma_0_2,1,0.24171349360811673,
RF_5_t24_pruned_with_sigma_0_3,1,0.24171349360811673,
RF_5_t25,1,0.24171349360811673,
