Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
0,0,0.0,0.0,0,0,0,
0,1,2060.0,1712.0,0,0.546,0.454,
0,2,728.0,101.0,0,0.878,0.122,
1,0,0.0,0.0,0,0,0,
1,1,2387.0,579.0,0,0.805,0.195,
1,2,401.0,1234.0,1,0.245,0.755,
2,0,0.0,0.0,0,0,0,
2,1,2513.0,704.0,0,0.781,0.219,
2,2,275.0,1109.0,1,0.199,0.801,
3,0,0.0,0.0,0,0,0,
3,1,2191.0,388.0,0,0.85,0.15,
3,2,597.0,1425.0,1,0.295,0.705,
4,0,0.0,0.0,0,0,0,
4,1,2174.0,615.0,0,0.779,0.221,
4,2,614.0,1198.0,1,0.339,0.661,
5,0,0.0,0.0,0,0,0,
5,1,2748.0,1149.0,0,0.705,0.295,
5,2,40.0,664.0,1,0.057,0.943,
6,0,0.0,0.0,0,0,0,
6,1,1250.0,639.0,0,0.662,0.338,
6,2,1538.0,1174.0,0,0.567,0.433,
7,0,0.0,0.0,0,0,0,
7,1,2349.0,1784.0,0,0.568,0.432,
7,2,439.0,29.0,0,0.938,0.062,
8,0,0.0,0.0,0,0,0,
8,1,2446.0,649.0,0,0.79,0.21,
8,2,342.0,1164.0,1,0.227,0.773,
9,0,0.0,0.0,0,0,0,
9,1,1539.0,1147.0,0,0.573,0.427,
9,2,1249.0,666.0,0,0.652,0.348,
10,0,0.0,0.0,0,0,0,
10,1,1417.0,945.0,0,0.6,0.4,
10,2,1371.0,868.0,0,0.612,0.388,
11,0,0.0,0.0,0,0,0,
11,1,2069.0,325.0,0,0.864,0.136,
11,2,719.0,1488.0,1,0.326,0.674,
12,0,0.0,0.0,0,0,0,
12,1,2016.0,1805.0,0,0.528,0.472,
12,2,772.0,8.0,0,0.99,0.01,
13,0,0.0,0.0,0,0,0,
13,1,2748.0,1090.0,0,0.716,0.284,
13,2,40.0,723.0,1,0.052,0.948,
14,0,0.0,0.0,0,0,0,
14,1,2004.0,1791.0,0,0.528,0.472,
14,2,784.0,22.0,0,0.973,0.027,
15,0,0.0,0.0,0,0,0,
15,1,2314.0,1628.0,0,0.587,0.413,
15,2,474.0,185.0,0,0.719,0.281,
16,0,0.0,0.0,0,0,0,
16,1,2184.0,687.0,0,0.761,0.239,
16,2,604.0,1126.0,1,0.349,0.651,
17,0,0.0,0.0,0,0,0,
17,1,1093.0,108.0,0,0.91,0.09,
17,2,1695.0,1705.0,1,0.499,0.501,
18,0,0.0,0.0,0,0,0,
18,1,2745.0,1049.0,0,0.724,0.276,
18,2,43.0,764.0,1,0.053,0.947,
19,0,0.0,0.0,0,0,0,
19,1,1207.0,128.0,0,0.904,0.096,
19,2,1581.0,1685.0,1,0.484,0.516,
20,0,0.0,0.0,0,0,0,
20,1,2052.0,1547.0,0,0.57,0.43,
20,2,736.0,266.0,0,0.735,0.265,
21,0,0.0,0.0,0,0,0,
21,1,2767.0,1719.0,0,0.617,0.383,
21,2,21.0,94.0,1,0.183,0.817,
22,0,0.0,0.0,0,0,0,
22,1,1295.0,149.0,0,0.897,0.103,
22,2,1493.0,1664.0,1,0.473,0.527,
23,0,0.0,0.0,0,0,0,
23,1,2285.0,468.0,0,0.83,0.17,
23,2,503.0,1345.0,1,0.272,0.728,
24,0,0.0,0.0,0,0,0,
24,1,1781.0,1778.0,0,0.5,0.5,
