Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
0,0,0.0,0.0,0,0,0,
0,1,2157.0,368.0,0,0.854,0.146,
0,2,631.0,1445.0,1,0.304,0.696,
1,0,0.0,0.0,0,0,0,
1,1,2734.0,1134.0,0,0.707,0.293,
1,2,54.0,679.0,1,0.074,0.926,
2,0,0.0,0.0,0,0,0,
2,1,2092.0,527.0,0,0.799,0.201,
2,2,696.0,1286.0,1,0.351,0.649,
3,0,0.0,0.0,0,0,0,
3,1,2661.0,834.0,0,0.761,0.239,
3,2,127.0,979.0,1,0.115,0.885,
4,0,0.0,0.0,0,0,0,
4,1,2245.0,417.0,0,0.843,0.157,
4,2,543.0,1396.0,1,0.28,0.72,
5,0,0.0,0.0,0,0,0,
5,1,2688.0,903.0,0,0.749,0.251,
5,2,100.0,910.0,1,0.099,0.901,
6,0,0.0,0.0,0,0,0,
6,1,2078.0,1805.0,0,0.535,0.465,
6,2,710.0,8.0,0,0.989,0.011,
7,0,2788.0,1813.0,0,0.606,0.394,
7,1,0.0,0.0,0,0,0,
7,2,0.0,0.0,0,0,0,
