Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
47,0,0.0,0.0,0,0,0,
47,1,2521.0,1242.0,0,0.67,0.33,
47,2,267.0,571.0,1,0.319,0.681,
48,0,0.0,0.0,0,0,0,
48,1,2117.0,1577.0,0,0.573,0.427,
48,2,671.0,236.0,0,0.74,0.26,
49,0,0.0,0.0,0,0,0,
49,1,2739.0,1579.0,0,0.634,0.366,
49,2,49.0,234.0,1,0.173,0.827,
50,0,0.0,0.0,0,0,0,
50,1,2467.0,1282.0,0,0.658,0.342,
50,2,321.0,531.0,1,0.377,0.623,
51,0,0.0,0.0,0,0,0,
51,1,2349.0,1784.0,0,0.568,0.432,
51,2,439.0,29.0,0,0.938,0.062,
52,0,0.0,0.0,0,0,0,
52,1,1210.0,224.0,0,0.844,0.156,
52,2,1578.0,1589.0,1,0.498,0.502,
53,0,0.0,0.0,0,0,0,
53,1,1093.0,108.0,0,0.91,0.09,
53,2,1695.0,1705.0,1,0.499,0.501,
54,0,0.0,0.0,0,0,0,
54,1,2353.0,1786.0,0,0.568,0.432,
54,2,435.0,27.0,0,0.942,0.058,
55,0,0.0,0.0,0,0,0,
55,1,2005.0,1791.0,0,0.528,0.472,
55,2,783.0,22.0,0,0.973,0.027,
56,0,0.0,0.0,0,0,0,
56,1,2446.0,649.0,0,0.79,0.21,
56,2,342.0,1164.0,1,0.227,0.773,
57,0,0.0,0.0,0,0,0,
57,1,1539.0,1147.0,0,0.573,0.427,
57,2,1249.0,666.0,0,0.652,0.348,
58,0,0.0,0.0,0,0,0,
58,1,1417.0,945.0,0,0.6,0.4,
58,2,1371.0,868.0,0,0.612,0.388,
59,0,0.0,0.0,0,0,0,
59,1,1370.0,868.0,0,0.612,0.388,
59,2,1418.0,945.0,0,0.6,0.4,
60,0,0.0,0.0,0,0,0,
60,1,2352.0,1646.0,0,0.588,0.412,
60,2,436.0,167.0,0,0.723,0.277,
61,0,0.0,0.0,0,0,0,
61,1,2688.0,903.0,0,0.749,0.251,
61,2,100.0,910.0,1,0.099,0.901,
62,0,0.0,0.0,0,0,0,
62,1,2069.0,325.0,0,0.864,0.136,
62,2,719.0,1488.0,1,0.326,0.674,
63,0,0.0,0.0,0,0,0,
63,1,2464.0,1709.0,0,0.59,0.41,
63,2,324.0,104.0,0,0.757,0.243,
64,0,0.0,0.0,0,0,0,
64,1,1647.0,689.0,0,0.705,0.295,
64,2,1141.0,1124.0,0,0.504,0.496,
65,0,0.0,0.0,0,0,0,
65,1,2016.0,1805.0,0,0.528,0.472,
65,2,772.0,8.0,0,0.99,0.01,
66,0,0.0,0.0,0,0,0,
66,1,2657.0,1259.0,0,0.678,0.322,
66,2,131.0,554.0,1,0.191,0.809,
67,0,0.0,0.0,0,0,0,
67,1,2748.0,1090.0,0,0.716,0.284,
67,2,40.0,723.0,1,0.052,0.948,
68,0,0.0,0.0,0,0,0,
68,1,2004.0,1791.0,0,0.528,0.472,
68,2,784.0,22.0,0,0.973,0.027,
69,0,0.0,0.0,0,0,0,
69,1,2314.0,1628.0,0,0.587,0.413,
69,2,474.0,185.0,0,0.719,0.281,
70,0,0.0,0.0,0,0,0,
70,1,2184.0,687.0,0,0.761,0.239,
70,2,604.0,1126.0,1,0.349,0.651,
71,0,0.0,0.0,0,0,0,
71,1,2754.0,1257.0,0,0.687,0.313,
71,2,34.0,556.0,1,0.058,0.942,
72,0,0.0,0.0,0,0,0,
72,1,1566.0,299.0,0,0.84,0.16,
72,2,1222.0,1514.0,1,0.447,0.553,
73,0,0.0,0.0,0,0,0,
73,1,1093.0,108.0,0,0.91,0.09,
73,2,1695.0,1705.0,1,0.499,0.501,
74,0,0.0,0.0,0,0,0,
74,1,2706.0,1387.0,0,0.661,0.339,
74,2,82.0,426.0,1,0.161,0.839,
75,0,0.0,0.0,0,0,0,
75,1,2695.0,928.0,0,0.744,0.256,
75,2,93.0,885.0,1,0.095,0.905,
76,0,0.0,0.0,0,0,0,
76,1,2700.0,947.0,0,0.74,0.26,
76,2,88.0,866.0,1,0.092,0.908,
77,0,0.0,0.0,0,0,0,
77,1,2319.0,661.0,0,0.778,0.222,
77,2,469.0,1152.0,1,0.289,0.711,
78,0,0.0,0.0,0,0,0,
78,1,2394.0,1132.0,0,0.679,0.321,
78,2,394.0,681.0,1,0.367,0.633,
79,0,0.0,0.0,0,0,0,
79,1,2394.0,1786.0,0,0.573,0.427,
79,2,394.0,27.0,0,0.936,0.064,
80,0,0.0,0.0,0,0,0,
80,1,2596.0,1357.0,0,0.657,0.343,
80,2,192.0,456.0,1,0.296,0.704,
81,0,0.0,0.0,0,0,0,
81,1,2538.0,824.0,0,0.755,0.245,
81,2,250.0,989.0,1,0.202,0.798,
82,0,0.0,0.0,0,0,0,
82,1,2414.0,1693.0,0,0.588,0.412,
82,2,374.0,120.0,0,0.757,0.243,
83,0,0.0,0.0,0,0,0,
83,1,2728.0,1092.0,0,0.714,0.286,
83,2,60.0,721.0,1,0.077,0.923,
84,0,0.0,0.0,0,0,0,
84,1,2354.0,1786.0,0,0.569,0.431,
84,2,434.0,27.0,0,0.941,0.059,
85,0,0.0,0.0,0,0,0,
85,1,2365.0,915.0,0,0.721,0.279,
85,2,423.0,898.0,1,0.32,0.68,
86,0,0.0,0.0,0,0,0,
86,1,2745.0,1049.0,0,0.724,0.276,
86,2,43.0,764.0,1,0.053,0.947,
87,0,0.0,0.0,0,0,0,
87,1,2439.0,1700.0,0,0.589,0.411,
87,2,349.0,113.0,0,0.755,0.245,
88,0,0.0,0.0,0,0,0,
88,1,1207.0,128.0,0,0.904,0.096,
88,2,1581.0,1685.0,1,0.484,0.516,
89,0,0.0,0.0,0,0,0,
89,1,897.0,74.0,0,0.924,0.076,
89,2,1891.0,1739.0,0,0.521,0.479,
90,0,0.0,0.0,0,0,0,
90,1,2633.0,1412.0,0,0.651,0.349,
90,2,155.0,401.0,1,0.279,0.721,
91,0,0.0,0.0,0,0,0,
91,1,2144.0,592.0,0,0.784,0.216,
91,2,644.0,1221.0,1,0.345,0.655,
92,0,0.0,0.0,0,0,0,
92,1,1895.0,1421.0,0,0.571,0.429,
92,2,893.0,392.0,0,0.695,0.305,
93,0,0.0,0.0,0,0,0,
93,1,2092.0,527.0,0,0.799,0.201,
93,2,696.0,1286.0,1,0.351,0.649,
94,0,0.0,0.0,0,0,0,
94,1,2676.0,883.0,0,0.752,0.248,
94,2,112.0,930.0,1,0.107,0.893,
95,0,0.0,0.0,0,0,0,
95,1,2052.0,1547.0,0,0.57,0.43,
95,2,736.0,266.0,0,0.735,0.265,
96,0,0.0,0.0,0,0,0,
96,1,2341.0,1747.0,0,0.573,0.427,
96,2,447.0,66.0,0,0.871,0.129,
97,0,0.0,0.0,0,0,0,
97,1,2767.0,1719.0,0,0.617,0.383,
97,2,21.0,94.0,1,0.183,0.817,
98,0,0.0,0.0,0,0,0,
98,1,1295.0,149.0,0,0.897,0.103,
98,2,1493.0,1664.0,1,0.473,0.527,
99,0,0.0,0.0,0,0,0,
99,1,2594.0,1408.0,0,0.648,0.352,
99,2,194.0,405.0,1,0.324,0.676,
100,0,0.0,0.0,0,0,0,
100,1,2345.0,1700.0,0,0.58,0.42,
100,2,443.0,113.0,0,0.797,0.203,
101,0,0.0,0.0,0,0,0,
101,1,2753.0,1388.0,0,0.665,0.335,
101,2,35.0,425.0,1,0.076,0.924,
102,0,0.0,0.0,0,0,0,
102,1,2285.0,468.0,0,0.83,0.17,
102,2,503.0,1345.0,1,0.272,0.728,
103,0,0.0,0.0,0,0,0,
103,1,2061.0,1713.0,0,0.546,0.454,
103,2,727.0,100.0,0,0.879,0.121,
104,0,0.0,0.0,0,0,0,
104,1,2025.0,1805.0,0,0.529,0.471,
104,2,763.0,8.0,0,0.99,0.01,
105,0,0.0,0.0,0,0,0,
105,1,2456.0,912.0,0,0.729,0.271,
105,2,332.0,901.0,1,0.269,0.731,
106,0,0.0,0.0,0,0,0,
106,1,1781.0,1778.0,0,0.5,0.5,
106,2,1007.0,35.0,0,0.966,0.034,
107,0,0.0,0.0,0,0,0,
107,1,2598.0,909.0,0,0.741,0.259,
107,2,190.0,904.0,1,0.174,0.826,
108,0,0.0,0.0,0,0,0,
108,1,2091.0,1805.0,0,0.537,0.463,
108,2,697.0,8.0,0,0.989,0.011,
109,0,0.0,0.0,0,0,0,
109,1,2098.0,1725.0,0,0.549,0.451,
109,2,690.0,88.0,0,0.887,0.113,
110,0,0.0,0.0,0,0,0,
110,1,1443.0,207.0,0,0.875,0.125,
110,2,1345.0,1606.0,1,0.456,0.544,
111,0,0.0,0.0,0,0,0,
111,1,2011.0,1793.0,0,0.529,0.471,
111,2,777.0,20.0,0,0.975,0.025,
112,0,0.0,0.0,0,0,0,
112,1,2576.0,1694.0,0,0.603,0.397,
112,2,212.0,119.0,0,0.64,0.36,
113,0,0.0,0.0,0,0,0,
113,1,2538.0,1122.0,0,0.693,0.307,
113,2,250.0,691.0,1,0.266,0.734,
114,0,0.0,0.0,0,0,0,
114,1,2543.0,828.0,0,0.754,0.246,
114,2,245.0,985.0,1,0.199,0.801,
115,0,0.0,0.0,0,0,0,
115,1,2745.0,1053.0,0,0.723,0.277,
115,2,43.0,760.0,1,0.054,0.946,
116,0,0.0,0.0,0,0,0,
116,1,1728.0,369.0,0,0.824,0.176,
116,2,1060.0,1444.0,1,0.423,0.577,
117,0,0.0,0.0,0,0,0,
117,1,2784.0,1812.0,0,0.606,0.394,
117,2,4.0,1.0,0,0.8,0.2,
118,0,0.0,0.0,0,0,0,
118,1,2764.0,1505.0,0,0.647,0.353,
118,2,24.0,308.0,1,0.072,0.928,
119,0,0.0,0.0,0,0,0,
119,1,1363.0,159.0,0,0.896,0.104,
119,2,1425.0,1654.0,1,0.463,0.537,
120,0,0.0,0.0,0,0,0,
120,1,2086.0,1720.0,0,0.548,0.452,
120,2,702.0,93.0,0,0.883,0.117,
121,0,0.0,0.0,0,0,0,
121,1,1443.0,207.0,0,0.875,0.125,
121,2,1345.0,1606.0,1,0.456,0.544,
122,0,0.0,0.0,0,0,0,
122,1,2118.0,355.0,0,0.856,0.144,
122,2,670.0,1458.0,1,0.315,0.685,
123,0,0.0,0.0,0,0,0,
123,1,2004.0,1791.0,0,0.528,0.472,
123,2,784.0,22.0,0,0.973,0.027,
124,0,0.0,0.0,0,0,0,
124,1,2583.0,745.0,0,0.776,0.224,
124,2,205.0,1068.0,1,0.161,0.839,
125,0,0.0,0.0,0,0,0,
125,1,2661.0,834.0,0,0.761,0.239,
125,2,127.0,979.0,1,0.115,0.885,
126,0,0.0,0.0,0,0,0,
126,1,2245.0,417.0,0,0.843,0.157,
126,2,543.0,1396.0,1,0.28,0.72,
127,0,0.0,0.0,0,0,0,
127,1,1259.0,647.0,0,0.661,0.339,
127,2,1529.0,1166.0,0,0.567,0.433,
128,0,0.0,0.0,0,0,0,
128,1,2327.0,512.0,0,0.82,0.18,
128,2,461.0,1301.0,1,0.262,0.738,
129,0,0.0,0.0,0,0,0,
129,1,2522.0,1193.0,0,0.679,0.321,
129,2,266.0,620.0,1,0.3,0.7,
130,0,0.0,0.0,0,0,0,
130,1,2346.0,1051.0,0,0.691,0.309,
130,2,442.0,762.0,1,0.367,0.633,
131,0,0.0,0.0,0,0,0,
131,1,1753.0,1774.0,1,0.497,0.503,
131,2,1035.0,39.0,0,0.964,0.036,
132,0,0.0,0.0,0,0,0,
132,1,1826.0,403.0,0,0.819,0.181,
132,2,962.0,1410.0,1,0.406,0.594,
133,0,0.0,0.0,0,0,0,
133,1,2060.0,1712.0,0,0.546,0.454,
133,2,728.0,101.0,0,0.878,0.122,
134,0,0.0,0.0,0,0,0,
134,1,2748.0,1102.0,0,0.714,0.286,
134,2,40.0,711.0,1,0.053,0.947,
135,0,0.0,0.0,0,0,0,
135,1,2263.0,443.0,0,0.836,0.164,
135,2,525.0,1370.0,1,0.277,0.723,
136,0,0.0,0.0,0,0,0,
136,1,894.0,161.0,0,0.847,0.153,
136,2,1894.0,1652.0,0,0.534,0.466,
137,0,0.0,0.0,0,0,0,
137,1,2100.0,334.0,0,0.863,0.137,
137,2,688.0,1479.0,1,0.317,0.683,
138,0,0.0,0.0,0,0,0,
138,1,2459.0,1723.0,0,0.588,0.412,
138,2,329.0,90.0,0,0.785,0.215,
139,0,0.0,0.0,0,0,0,
139,1,2398.0,594.0,0,0.801,0.199,
139,2,390.0,1219.0,1,0.242,0.758,
140,0,0.0,0.0,0,0,0,
140,1,1732.0,1338.0,0,0.564,0.436,
140,2,1056.0,475.0,0,0.69,0.31,
141,0,0.0,0.0,0,0,0,
141,1,2575.0,1244.0,0,0.674,0.326,
141,2,213.0,569.0,1,0.272,0.728,
142,0,0.0,0.0,0,0,0,
142,1,2657.0,1427.0,0,0.651,0.349,
142,2,131.0,386.0,1,0.253,0.747,
143,0,0.0,0.0,0,0,0,
143,1,2141.0,592.0,0,0.783,0.217,
143,2,647.0,1221.0,1,0.346,0.654,
144,0,0.0,0.0,0,0,0,
144,1,2117.0,572.0,0,0.787,0.213,
144,2,671.0,1241.0,1,0.351,0.649,
145,0,0.0,0.0,0,0,0,
145,1,2001.0,1451.0,0,0.58,0.42,
145,2,787.0,362.0,0,0.685,0.315,
146,0,0.0,0.0,0,0,0,
146,1,2742.0,1226.0,0,0.691,0.309,
146,2,46.0,587.0,1,0.073,0.927,
147,0,0.0,0.0,0,0,0,
147,1,2231.0,1744.0,0,0.561,0.439,
147,2,557.0,69.0,0,0.89,0.11,
148,0,0.0,0.0,0,0,0,
148,1,1758.0,1775.0,1,0.498,0.502,
148,2,1030.0,38.0,0,0.964,0.036,
149,0,0.0,0.0,0,0,0,
149,1,2587.0,1198.0,0,0.683,0.317,
149,2,201.0,615.0,1,0.246,0.754,
150,0,0.0,0.0,0,0,0,
150,1,2295.0,806.0,0,0.74,0.26,
150,2,493.0,1007.0,1,0.329,0.671,
151,0,0.0,0.0,0,0,0,
151,1,2735.0,1134.0,0,0.707,0.293,
151,2,53.0,679.0,1,0.072,0.928,
152,0,0.0,0.0,0,0,0,
152,1,2768.0,1311.0,0,0.679,0.321,
152,2,20.0,502.0,1,0.038,0.962,
153,0,0.0,0.0,0,0,0,
153,1,1605.0,273.0,0,0.855,0.145,
153,2,1183.0,1540.0,1,0.434,0.566,
154,0,0.0,0.0,0,0,0,
154,1,697.0,40.0,0,0.946,0.054,
154,2,2091.0,1773.0,0,0.541,0.459,
