Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
0,0,0.0,0.0,0,0,0,
0,1,1334.0,782.0,0,0.63,0.37,
0,2,1454.0,1031.0,0,0.585,0.415,
1,0,0.0,0.0,0,0,0,
1,1,2550.0,724.0,0,0.779,0.221,
1,2,238.0,1089.0,1,0.179,0.821,
2,0,0.0,0.0,0,0,0,
2,1,1363.0,159.0,0,0.896,0.104,
2,2,1425.0,1654.0,1,0.463,0.537,
3,0,0.0,0.0,0,0,0,
3,1,2060.0,1712.0,0,0.546,0.454,
3,2,728.0,101.0,0,0.878,0.122,
4,0,0.0,0.0,0,0,0,
4,1,2636.0,1507.0,0,0.636,0.364,
4,2,152.0,306.0,1,0.332,0.668,
5,0,0.0,0.0,0,0,0,
5,1,331.0,18.0,0,0.948,0.052,
5,2,2457.0,1795.0,0,0.578,0.422,
6,0,0.0,0.0,0,0,0,
6,1,2615.0,1269.0,0,0.673,0.327,
6,2,173.0,544.0,1,0.241,0.759,
7,0,0.0,0.0,0,0,0,
7,1,2387.0,579.0,0,0.805,0.195,
7,2,401.0,1234.0,1,0.245,0.755,
8,0,0.0,0.0,0,0,0,
8,1,2709.0,989.0,0,0.733,0.267,
8,2,79.0,824.0,1,0.087,0.913,
9,0,0.0,0.0,0,0,0,
9,1,2513.0,704.0,0,0.781,0.219,
9,2,275.0,1109.0,1,0.199,0.801,
10,0,0.0,0.0,0,0,0,
10,1,2734.0,1134.0,0,0.707,0.293,
10,2,54.0,679.0,1,0.074,0.926,
11,0,0.0,0.0,0,0,0,
11,1,2782.0,1620.0,0,0.632,0.368,
11,2,6.0,193.0,1,0.03,0.97,
12,0,0.0,0.0,0,0,0,
12,1,1609.0,675.0,0,0.704,0.296,
12,2,1179.0,1138.0,0,0.509,0.491,
13,0,0.0,0.0,0,0,0,
13,1,2191.0,388.0,0,0.85,0.15,
13,2,597.0,1425.0,1,0.295,0.705,
14,0,0.0,0.0,0,0,0,
14,1,2174.0,615.0,0,0.779,0.221,
14,2,614.0,1198.0,1,0.339,0.661,
15,0,0.0,0.0,0,0,0,
15,1,2604.0,1448.0,0,0.643,0.357,
15,2,184.0,365.0,1,0.335,0.665,
16,0,0.0,0.0,0,0,0,
16,1,2748.0,1149.0,0,0.705,0.295,
16,2,40.0,664.0,1,0.057,0.943,
17,0,0.0,0.0,0,0,0,
17,1,1250.0,639.0,0,0.662,0.338,
17,2,1538.0,1174.0,0,0.567,0.433,
18,0,0.0,0.0,0,0,0,
18,1,2349.0,1784.0,0,0.568,0.432,
18,2,439.0,29.0,0,0.938,0.062,
19,0,0.0,0.0,0,0,0,
19,1,2353.0,1786.0,0,0.568,0.432,
19,2,435.0,27.0,0,0.942,0.058,
20,0,0.0,0.0,0,0,0,
20,1,2446.0,649.0,0,0.79,0.21,
20,2,342.0,1164.0,1,0.227,0.773,
21,0,0.0,0.0,0,0,0,
21,1,1539.0,1147.0,0,0.573,0.427,
21,2,1249.0,666.0,0,0.652,0.348,
22,0,0.0,0.0,0,0,0,
22,1,1417.0,945.0,0,0.6,0.4,
22,2,1371.0,868.0,0,0.612,0.388,
23,0,0.0,0.0,0,0,0,
23,1,2069.0,325.0,0,0.864,0.136,
23,2,719.0,1488.0,1,0.326,0.674,
24,0,0.0,0.0,0,0,0,
24,1,2464.0,1709.0,0,0.59,0.41,
24,2,324.0,104.0,0,0.757,0.243,
25,0,0.0,0.0,0,0,0,
25,1,2016.0,1805.0,0,0.528,0.472,
25,2,772.0,8.0,0,0.99,0.01,
26,0,0.0,0.0,0,0,0,
26,1,2748.0,1090.0,0,0.716,0.284,
26,2,40.0,723.0,1,0.052,0.948,
27,0,0.0,0.0,0,0,0,
27,1,2004.0,1791.0,0,0.528,0.472,
27,2,784.0,22.0,0,0.973,0.027,
28,0,0.0,0.0,0,0,0,
28,1,2314.0,1628.0,0,0.587,0.413,
28,2,474.0,185.0,0,0.719,0.281,
29,0,0.0,0.0,0,0,0,
29,1,2184.0,687.0,0,0.761,0.239,
29,2,604.0,1126.0,1,0.349,0.651,
30,0,0.0,0.0,0,0,0,
30,1,1093.0,108.0,0,0.91,0.09,
30,2,1695.0,1705.0,1,0.499,0.501,
31,0,0.0,0.0,0,0,0,
31,1,2695.0,928.0,0,0.744,0.256,
31,2,93.0,885.0,1,0.095,0.905,
32,0,0.0,0.0,0,0,0,
32,1,2700.0,947.0,0,0.74,0.26,
32,2,88.0,866.0,1,0.092,0.908,
33,0,0.0,0.0,0,0,0,
33,1,2414.0,1693.0,0,0.588,0.412,
33,2,374.0,120.0,0,0.757,0.243,
34,0,0.0,0.0,0,0,0,
34,1,2728.0,1092.0,0,0.714,0.286,
34,2,60.0,721.0,1,0.077,0.923,
35,0,0.0,0.0,0,0,0,
35,1,2354.0,1786.0,0,0.569,0.431,
35,2,434.0,27.0,0,0.941,0.059,
36,0,0.0,0.0,0,0,0,
36,1,2745.0,1049.0,0,0.724,0.276,
36,2,43.0,764.0,1,0.053,0.947,
37,0,0.0,0.0,0,0,0,
37,1,1207.0,128.0,0,0.904,0.096,
37,2,1581.0,1685.0,1,0.484,0.516,
38,0,0.0,0.0,0,0,0,
38,1,2144.0,592.0,0,0.784,0.216,
38,2,644.0,1221.0,1,0.345,0.655,
39,0,0.0,0.0,0,0,0,
39,1,2052.0,1547.0,0,0.57,0.43,
39,2,736.0,266.0,0,0.735,0.265,
40,0,0.0,0.0,0,0,0,
40,1,2341.0,1747.0,0,0.573,0.427,
40,2,447.0,66.0,0,0.871,0.129,
41,0,0.0,0.0,0,0,0,
41,1,2767.0,1719.0,0,0.617,0.383,
41,2,21.0,94.0,1,0.183,0.817,
42,0,0.0,0.0,0,0,0,
42,1,1295.0,149.0,0,0.897,0.103,
42,2,1493.0,1664.0,1,0.473,0.527,
43,0,0.0,0.0,0,0,0,
43,1,2594.0,1408.0,0,0.648,0.352,
43,2,194.0,405.0,1,0.324,0.676,
44,0,0.0,0.0,0,0,0,
44,1,2345.0,1700.0,0,0.58,0.42,
44,2,443.0,113.0,0,0.797,0.203,
45,0,0.0,0.0,0,0,0,
45,1,2285.0,468.0,0,0.83,0.17,
45,2,503.0,1345.0,1,0.272,0.728,
46,0,0.0,0.0,0,0,0,
46,1,1781.0,1778.0,0,0.5,0.5,
46,2,1007.0,35.0,0,0.966,0.034,
47,0,0.0,0.0,0,0,0,
47,1,2098.0,1725.0,0,0.549,0.451,
47,2,690.0,88.0,0,0.887,0.113,
48,0,0.0,0.0,0,0,0,
48,1,1443.0,207.0,0,0.875,0.125,
