RF_5_pruned_with_sigma_0_0_t25,0.0,
RF_5_pruned_with_sigma_0_1_t25,0.0,
RF_5_pruned_with_sigma_0_2_t25,0.0,
RF_5_pruned_with_sigma_0_3_t25,0.0,
RF_10_t2,319.5,
RF_10_pruned_with_sigma_0_0_t2,312.9,
RF_10_pruned_with_sigma_0_1_t2,315.0,
RF_10_pruned_with_sigma_0_2_t2,331.8,
RF_10_pruned_with_sigma_0_3_t2,323.7,
RF_10_t3,318.1,
RF_10_pruned_with_sigma_0_0_t3,318.1,
RF_10_pruned_with_sigma_0_1_t3,315.2,
RF_10_pruned_with_sigma_0_2_t3,316.8,
RF_10_pruned_with_sigma_0_3_t3,314.5,
RF_10_t4,284.2,
RF_10_pruned_with_sigma_0_0_t4,284.4,
RF_10_pruned_with_sigma_0_1_t4,289.5,
RF_10_pruned_with_sigma_0_2_t4,319.4,
RF_10_pruned_with_sigma_0_3_t4,318.7,
RF_10_t5,222.6,
RF_10_pruned_with_sigma_0_0_t5,223.4,
RF_10_pruned_with_sigma_0_1_t5,223.8,
RF_10_pruned_with_sigma_0_2_t5,230.7,
RF_10_pruned_with_sigma_0_3_t5,247.4,
RF_10_t6,196.1,
RF_10_pruned_with_sigma_0_0_t6,206.4,
RF_10_pruned_with_sigma_0_1_t6,202.2,
RF_10_pruned_with_sigma_0_2_t6,182.3,
RF_10_pruned_with_sigma_0_3_t6,160.8,
RF_10_t7,153.8,
RF_10_pruned_with_sigma_0_0_t7,188.8,
RF_10_pruned_with_sigma_0_1_t7,174.8,
RF_10_pruned_with_sigma_0_2_t7,151.8,
RF_10_pruned_with_sigma_0_3_t7,126.8,
RF_10_t8,126.9,
RF_10_pruned_with_sigma_0_0_t8,170.9,
RF_10_pruned_with_sigma_0_1_t8,156.9,
RF_10_pruned_with_sigma_0_2_t8,141.9,
RF_10_pruned_with_sigma_0_3_t8,113.9,
RF_10_t9,117.0,
RF_10_pruned_with_sigma_0_0_t9,149.0,
RF_10_pruned_with_sigma_0_1_t9,141.0,
RF_10_pruned_with_sigma_0_2_t9,132.0,
RF_10_pruned_with_sigma_0_3_t9,109.0,
RF_10_t10,106.0,
RF_10_pruned_with_sigma_0_0_t10,132.0,
RF_10_pruned_with_sigma_0_1_t10,132.0,
RF_10_pruned_with_sigma_0_2_t10,122.0,
RF_10_pruned_with_sigma_0_3_t10,107.0,
RF_10_t11,96.0,
RF_10_pruned_with_sigma_0_0_t11,121.0,
RF_10_pruned_with_sigma_0_1_t11,116.0,
RF_10_pruned_with_sigma_0_2_t11,114.0,
RF_10_pruned_with_sigma_0_3_t11,98.0,
RF_10_t12,86.0,
RF_10_pruned_with_sigma_0_0_t12,104.0,
RF_10_pruned_with_sigma_0_1_t12,110.0,
RF_10_pruned_with_sigma_0_2_t12,107.0,
RF_10_pruned_with_sigma_0_3_t12,96.0,
RF_10_t13,81.0,
RF_10_pruned_with_sigma_0_0_t13,92.0,
RF_10_pruned_with_sigma_0_1_t13,103.0,
RF_10_pruned_with_sigma_0_2_t13,100.0,
RF_10_pruned_with_sigma_0_3_t13,93.0,
RF_10_t14,77.0,
RF_10_pruned_with_sigma_0_0_t14,88.0,
RF_10_pruned_with_sigma_0_1_t14,96.0,
RF_10_pruned_with_sigma_0_2_t14,90.0,
RF_10_pruned_with_sigma_0_3_t14,89.0,
RF_10_t15,71.0,
RF_10_pruned_with_sigma_0_0_t15,78.0,
RF_10_pruned_with_sigma_0_1_t15,86.0,
RF_10_pruned_with_sigma_0_2_t15,85.0,
RF_10_pruned_with_sigma_0_3_t15,83.0,
RF_10_t16,63.0,
RF_10_pruned_with_sigma_0_0_t16,71.0,
RF_10_pruned_with_sigma_0_1_t16,81.0,
RF_10_pruned_with_sigma_0_2_t16,78.0,
RF_10_pruned_with_sigma_0_3_t16,77.0,
RF_10_t17,57.0,
RF_10_pruned_with_sigma_0_0_t17,64.0,
RF_10_pruned_with_sigma_0_1_t17,77.0,
RF_10_pruned_with_sigma_0_2_t17,73.0,
RF_10_pruned_with_sigma_0_3_t17,74.0,
RF_10_t18,54.0,
RF_10_pruned_with_sigma_0_0_t18,60.0,
RF_10_pruned_with_sigma_0_1_t18,71.0,
RF_10_pruned_with_sigma_0_2_t18,70.0,
RF_10_pruned_with_sigma_0_3_t18,67.0,
RF_10_t19,52.0,
RF_10_pruned_with_sigma_0_0_t19,55.0,
RF_10_pruned_with_sigma_0_1_t19,67.0,
RF_10_pruned_with_sigma_0_2_t19,67.0,
RF_10_pruned_with_sigma_0_3_t19,65.0,
RF_10_t20,50.0,
RF_10_pruned_with_sigma_0_0_t20,52.0,
RF_10_pruned_with_sigma_0_1_t20,62.0,
RF_10_pruned_with_sigma_0_2_t20,63.0,
RF_10_pruned_with_sigma_0_3_t20,63.0,
RF_10_t21,48.0,
RF_10_pruned_with_sigma_0_0_t21,48.0,
RF_10_pruned_with_sigma_0_1_t21,58.0,
RF_10_pruned_with_sigma_0_2_t21,60.0,
RF_10_pruned_with_sigma_0_3_t21,59.0,
RF_10_t22,47.0,
RF_10_pruned_with_sigma_0_0_t22,47.0,
RF_10_pruned_with_sigma_0_1_t22,54.0,
RF_10_pruned_with_sigma_0_2_t22,58.0,
RF_10_pruned_with_sigma_0_3_t22,57.0,
RF_10_t23,45.0,
RF_10_pruned_with_sigma_0_0_t23,45.0,
RF_10_pruned_with_sigma_0_1_t23,48.0,
RF_10_pruned_with_sigma_0_2_t23,55.0,
RF_10_pruned_with_sigma_0_3_t23,52.0,
RF_10_t24,39.0,
RF_10_pruned_with_sigma_0_0_t24,39.0,
RF_10_pruned_with_sigma_0_1_t24,42.0,
RF_10_pruned_with_sigma_0_2_t24,45.0,
RF_10_pruned_with_sigma_0_3_t24,47.0,
RF_10_t25,28.0,
RF_10_pruned_with_sigma_0_0_t25,28.0,
RF_10_pruned_with_sigma_0_1_t25,30.0,
RF_10_pruned_with_sigma_0_2_t25,31.0,
RF_10_pruned_with_sigma_0_3_t25,33.0,
RF_15_t2,398.8,
RF_15_pruned_with_sigma_0_0_t2,398.7,
RF_15_pruned_with_sigma_0_1_t2,398.0,
RF_15_pruned_with_sigma_0_2_t2,403.2,
RF_15_pruned_with_sigma_0_3_t2,411.8,
RF_15_t3,343.8,
RF_15_pruned_with_sigma_0_0_t3,349.5,
RF_15_pruned_with_sigma_0_1_t3,348.7,
RF_15_pruned_with_sigma_0_2_t3,336.7,
RF_15_pruned_with_sigma_0_3_t3,350.9,
RF_15_t4,331.6,
RF_15_pruned_with_sigma_0_0_t4,333.5,
RF_15_pruned_with_sigma_0_1_t4,320.3,
RF_15_pruned_with_sigma_0_2_t4,320.5,
RF_15_pruned_with_sigma_0_3_t4,313.1,
RF_15_t5,328.2,
RF_15_pruned_with_sigma_0_0_t5,335.2,
RF_15_pruned_with_sigma_0_1_t5,324.9,
RF_15_pruned_with_sigma_0_2_t5,324.6,
RF_15_pruned_with_sigma_0_3_t5,329.3,
RF_15_t6,331.0,
RF_15_pruned_with_sigma_0_0_t6,327.3,
