DSF,accuracy,
RF_5_t24,0.518708547115505,
RF_5_pruned_with_sigma_0_0_t24,0.518708547115505,
RF_5_pruned_with_sigma_0_1_t24,0.518708547115505,
RF_5_pruned_with_sigma_0_2_t24,0.518708547115505,
RF_5_pruned_with_sigma_0_3_t24,0.518708547115505,
RF_5_t25,0.518708547115505,
RF_5_pruned_with_sigma_0_0_t25,0.518708547115505,
RF_5_pruned_with_sigma_0_1_t25,0.518708547115505,
RF_5_pruned_with_sigma_0_2_t25,0.518708547115505,
RF_5_pruned_with_sigma_0_3_t25,0.518708547115505,
RF_10_t2,0.6723814291077462,
RF_10_pruned_with_sigma_0_0_t2,0.7100488049055187,
RF_10_pruned_with_sigma_0_1_t2,0.6745088224252284,
RF_10_pruned_with_sigma_0_2_t2,0.6264547616068077,
RF_10_pruned_with_sigma_0_3_t2,0.6491052433988237,
RF_10_t3,0.7218120385433613,
RF_10_pruned_with_sigma_0_0_t3,0.7034163433863097,
RF_10_pruned_with_sigma_0_1_t3,0.6099361782004755,
RF_10_pruned_with_sigma_0_2_t3,0.6303341258916281,
RF_10_pruned_with_sigma_0_3_t3,0.6713803028406958,
RF_10_t4,0.5906644975597547,
RF_10_pruned_with_sigma_0_0_t4,0.5396070579401827,
RF_10_pruned_with_sigma_0_1_t4,0.6091853335001877,
RF_10_pruned_with_sigma_0_2_t4,0.6198223000875985,
RF_10_pruned_with_sigma_0_3_t4,0.5982980853460143,
RF_10_t5,0.5471155049430609,
RF_10_pruned_with_sigma_0_0_t5,0.5237141784507571,
RF_10_pruned_with_sigma_0_1_t5,0.5477412088599675,
RF_10_pruned_with_sigma_0_2_t5,0.5592541609310474,
RF_10_pruned_with_sigma_0_3_t5,0.5815292203729195,
RF_10_t6,0.5526216994118384,
RF_10_pruned_with_sigma_0_0_t6,0.5234638968839945,
RF_10_pruned_with_sigma_0_1_t6,0.5244650231510449,
RF_10_pruned_with_sigma_0_2_t6,0.529846076836441,
RF_10_pruned_with_sigma_0_3_t6,0.5533725441121261,
RF_10_t7,0.5453635339757227,
RF_10_pruned_with_sigma_0_0_t7,0.5260918533350019,
RF_10_pruned_with_sigma_0_1_t7,0.5220873482668001,
RF_10_pruned_with_sigma_0_2_t7,0.529470654486297,
RF_10_pruned_with_sigma_0_3_t7,0.5527468401952196,
RF_10_t8,0.5429858590914779,
RF_10_pruned_with_sigma_0_0_t8,0.5312226254536353,
RF_10_pruned_with_sigma_0_1_t8,0.519584532599174,
RF_10_pruned_with_sigma_0_2_t8,0.5205856588662245,
RF_10_pruned_with_sigma_0_3_t8,0.5309723438868728,
RF_10_t9,0.5631335252158679,
RF_10_pruned_with_sigma_0_0_t9,0.5423601551745714,
RF_10_pruned_with_sigma_0_1_t9,0.5198348141659367,
RF_10_pruned_with_sigma_0_2_t9,0.5193342510324115,
RF_10_pruned_with_sigma_0_3_t9,0.5290952321361532,
RF_10_t10,0.580903516456013,
RF_10_pruned_with_sigma_0_0_t10,0.5479914904267301,
RF_10_pruned_with_sigma_0_1_t10,0.5189588286822675,
RF_10_pruned_with_sigma_0_2_t10,0.5189588286822675,
RF_10_pruned_with_sigma_0_3_t10,0.5202102365160806,
RF_10_t11,0.5799023901889626,
RF_10_pruned_with_sigma_0_0_t11,0.5587535977975222,
RF_10_pruned_with_sigma_0_1_t11,0.518708547115505,
RF_10_pruned_with_sigma_0_2_t11,0.5189588286822675,
RF_10_pruned_with_sigma_0_3_t11,0.5217119259166563,
RF_10_t12,0.6063070954824177,
RF_10_pruned_with_sigma_0_0_t12,0.5687648604680265,
RF_10_pruned_with_sigma_0_1_t12,0.5192091102490302,
RF_10_pruned_with_sigma_0_2_t12,0.5193342510324115,
RF_10_pruned_with_sigma_0_3_t12,0.5217119259166563,
RF_10_t13,0.5886622450256539,
RF_10_pruned_with_sigma_0_0_t13,0.5497434613940684,
RF_10_pruned_with_sigma_0_1_t13,0.5203353772994619,
RF_10_pruned_with_sigma_0_2_t13,0.5193342510324115,
RF_10_pruned_with_sigma_0_3_t13,0.519959954949318,
RF_10_t14,0.5665123263671631,
RF_10_pruned_with_sigma_0_0_t14,0.5466149418095357,
RF_10_pruned_with_sigma_0_1_t14,0.5192091102490302,
RF_10_pruned_with_sigma_0_2_t14,0.5185834063321236,
RF_10_pruned_with_sigma_0_3_t14,0.5184582655487423,
RF_10_t15,0.5536228256788888,
RF_10_pruned_with_sigma_0_0_t15,0.5468652233762983,
RF_10_pruned_with_sigma_0_1_t15,0.5217119259166563,
RF_10_pruned_with_sigma_0_2_t15,0.5185834063321236,
RF_10_pruned_with_sigma_0_3_t15,0.5184582655487423,
RF_10_t16,0.5544988111625578,
RF_10_pruned_with_sigma_0_0_t16,0.5362282567888875,
RF_10_pruned_with_sigma_0_1_t16,0.5203353772994619,
RF_10_pruned_with_sigma_0_2_t16,0.519959954949318,
RF_10_pruned_with_sigma_0_3_t16,0.519959954949318,
RF_10_t17,0.528594669002628,
RF_10_pruned_with_sigma_0_0_t17,0.5277186835189588,
RF_10_pruned_with_sigma_0_1_t17,0.518708547115505,
RF_10_pruned_with_sigma_0_2_t17,0.5185834063321236,
