DSF,accuracy,
RF_5_pruned_with_sigma_0_3_t23,0.518708547115505,
RF_5_t24,0.518708547115505,
RF_5_pruned_with_sigma_0_0_t24,0.518708547115505,
RF_5_pruned_with_sigma_0_1_t24,0.518708547115505,
RF_5_pruned_with_sigma_0_2_t24,0.518708547115505,
RF_5_pruned_with_sigma_0_3_t24,0.518708547115505,
RF_5_t25,0.518708547115505,
RF_5_pruned_with_sigma_0_0_t25,0.518708547115505,
RF_5_pruned_with_sigma_0_1_t25,0.518708547115505,
RF_5_pruned_with_sigma_0_2_t25,0.518708547115505,
RF_5_pruned_with_sigma_0_3_t25,0.518708547115505,
RF_10_t2,0.7100488049055187,
RF_10_pruned_with_sigma_0_0_t2,0.7448379426855212,
RF_10_pruned_with_sigma_0_1_t2,0.7121761982230008,
RF_10_pruned_with_sigma_0_2_t2,0.6621198848704792,
RF_10_pruned_with_sigma_0_3_t2,0.6860217744963083,
RF_10_t3,0.7330747090476787,
RF_10_pruned_with_sigma_0_0_t3,0.728694781629333,
RF_10_pruned_with_sigma_0_1_t3,0.6489801026154424,
RF_10_pruned_with_sigma_0_2_t3,0.6602427731197598,
RF_10_pruned_with_sigma_0_3_t3,0.6860217744963083,
RF_10_t4,0.6375922913277438,
RF_10_pruned_with_sigma_0_0_t4,0.5761481666875234,
RF_10_pruned_with_sigma_0_1_t4,0.6524840445501189,
RF_10_pruned_with_sigma_0_2_t4,0.661619321736954,
RF_10_pruned_with_sigma_0_3_t4,0.6395945438618446,
RF_10_t5,0.5802778125391065,
RF_10_pruned_with_sigma_0_0_t5,0.5449881116255788,
RF_10_pruned_with_sigma_0_1_t5,0.5874108371918408,
RF_10_pruned_with_sigma_0_2_t5,0.5967963959454387,
RF_10_pruned_with_sigma_0_3_t5,0.6206982855712677,
RF_10_t6,0.5856588662245026,
RF_10_pruned_with_sigma_0_0_t6,0.5417344512576648,
RF_10_pruned_with_sigma_0_1_t6,0.5548742335127018,
RF_10_pruned_with_sigma_0_2_t6,0.5682642973345013,
RF_10_pruned_with_sigma_0_3_t6,0.5926667500938556,
RF_10_t7,0.575147040420473,
RF_10_pruned_with_sigma_0_0_t7,0.5478663496433488,
RF_10_pruned_with_sigma_0_1_t7,0.5431109998748592,
RF_10_pruned_with_sigma_0_2_t7,0.5692654236015517,
RF_10_pruned_with_sigma_0_3_t7,0.5946690026279564,
RF_10_t8,0.5797772494055813,
RF_10_pruned_with_sigma_0_0_t8,0.5567513452634214,
RF_10_pruned_with_sigma_0_1_t8,0.5328494556375923,
RF_10_pruned_with_sigma_0_2_t8,0.5388562132398949,
RF_10_pruned_with_sigma_0_3_t8,0.5707671130021273,
RF_10_t9,0.5990489300463021,
RF_10_pruned_with_sigma_0_0_t9,0.5781504192216244,
RF_10_pruned_with_sigma_0_1_t9,0.532348892504067,
RF_10_pruned_with_sigma_0_2_t9,0.5267175572519084,
RF_10_pruned_with_sigma_0_3_t9,0.5610061318983857,
RF_10_t10,0.6259541984732825,
RF_10_pruned_with_sigma_0_0_t10,0.5855337254411213,
RF_10_pruned_with_sigma_0_1_t10,0.5239644600175197,
RF_10_pruned_with_sigma_0_2_t10,0.5262169941183832,
RF_10_pruned_with_sigma_0_3_t10,0.5363533975722689,
RF_10_t11,0.6228256788887498,
RF_10_pruned_with_sigma_0_0_t11,0.6000500563133525,
RF_10_pruned_with_sigma_0_1_t11,0.5235890376673757,
RF_10_pruned_with_sigma_0_2_t11,0.5237141784507571,
RF_10_pruned_with_sigma_0_3_t11,0.5408584657739958,
RF_10_t12,0.657489675885371,
RF_10_pruned_with_sigma_0_0_t12,0.609310474283569,
RF_10_pruned_with_sigma_0_1_t12,0.528594669002628,
RF_10_pruned_with_sigma_0_2_t12,0.5268426980352897,
RF_10_pruned_with_sigma_0_3_t12,0.5402327618570892,
RF_10_t13,0.641847077962708,
RF_10_pruned_with_sigma_0_0_t13,0.597797522212489,
RF_10_pruned_with_sigma_0_1_t13,0.5346014266049306,
RF_10_pruned_with_sigma_0_2_t13,0.5317231885871605,
RF_10_pruned_with_sigma_0_3_t13,0.5308472031034914,
RF_10_t14,0.6103116005506194,
RF_10_pruned_with_sigma_0_0_t14,0.5971718182955825,
RF_10_pruned_with_sigma_0_1_t14,0.5278438243023401,
RF_10_pruned_with_sigma_0_2_t14,0.5299712176198224,
RF_10_pruned_with_sigma_0_3_t14,0.5288449505693905,
RF_10_t15,0.5969215367288199,
RF_10_pruned_with_sigma_0_0_t15,0.5919159053935678,
RF_10_pruned_with_sigma_0_1_t15,0.535602552871981,
RF_10_pruned_with_sigma_0_2_t15,0.5299712176198224,
RF_10_pruned_with_sigma_0_3_t15,0.528594669002628,
RF_10_t16,0.5962958328119135,
RF_10_pruned_with_sigma_0_0_t16,0.5782755600050057,
RF_10_pruned_with_sigma_0_1_t16,0.5387310724565135,
RF_10_pruned_with_sigma_0_2_t16,0.5363533975722689,
RF_10_pruned_with_sigma_0_3_t16,0.5330997372043549,
RF_10_t17,0.5655112001001126,
RF_10_pruned_with_sigma_0_0_t17,0.5610061318983857,
RF_10_pruned_with_sigma_0_1_t17,0.5208359404329871,
RF_10_pruned_with_sigma_0_2_t17,0.5268426980352897,
RF_10_pruned_with_sigma_0_3_t17,0.5324740332874484,
RF_10_t18,0.5338505819046427,
RF_10_pruned_with_sigma_0_0_t18,0.5523714178450757,
RF_10_pruned_with_sigma_0_1_t18,0.519959954949318,
RF_10_pruned_with_sigma_0_2_t18,0.5204605180828432,
