RF,comparisons Count,accuracy,
RF_5_t10_pruned_with_sigma_0_0,3.0,0.8443481147780185,
RF_5_t10_pruned_with_sigma_0_1,16.0,0.7815146284435591,
RF_5_t10_pruned_with_sigma_0_2,15.0,0.873268517566774,
RF_5_t10_pruned_with_sigma_0_3,15.0,0.8680539556403067,
RF_5_t11,0.0,0.6059553473007412,
RF_5_t11_pruned_with_sigma_0_0,1.0,0.5596077027501214,
RF_5_t11_pruned_with_sigma_0_1,13.0,0.7695677806802702,
RF_5_t11_pruned_with_sigma_0_2,12.0,0.8567770046987295,
RF_5_t11_pruned_with_sigma_0_3,13.0,0.8632751220169211,
RF_5_t12,0.0,0.6059553473007412,
RF_5_t12_pruned_with_sigma_0_0,1.0,0.5596077027501214,
RF_5_t12_pruned_with_sigma_0_1,11.0,0.7297588962179776,
RF_5_t12_pruned_with_sigma_0_2,11.0,0.8426345021674175,
RF_5_t12_pruned_with_sigma_0_3,13.0,0.8632751220169211,
RF_5_t13,0.0,0.6059553473007412,
RF_5_t13_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_5_t13_pruned_with_sigma_0_1,10.0,0.7297588962179776,
RF_5_t13_pruned_with_sigma_0_2,10.0,0.8374171046988476,
RF_5_t13_pruned_with_sigma_0_3,12.0,0.8291760741683296,
RF_5_t14,0.0,0.6059553473007412,
RF_5_t14_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_5_t14_pruned_with_sigma_0_1,8.0,0.8423502390716434,
RF_5_t14_pruned_with_sigma_0_2,10.0,0.8374171046988476,
RF_5_t14_pruned_with_sigma_0_3,10.0,0.8248239896313676,
RF_5_t15,0.0,0.6059553473007412,
RF_5_t15_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_5_t15_pruned_with_sigma_0_1,7.0,0.893473409113196,
RF_5_t15_pruned_with_sigma_0_2,7.0,0.8411342641000283,
RF_5_t15_pruned_with_sigma_0_3,7.0,0.821788541810659,
RF_5_t16,0.0,0.6059553473007412,
RF_5_t16_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_5_t16_pruned_with_sigma_0_1,6.0,0.8399591681937242,
RF_5_t16_pruned_with_sigma_0_2,6.0,0.7891429455847656,
RF_5_t16_pruned_with_sigma_0_3,6.0,0.7791632551550747,
RF_5_t17,0.0,0.6059553473007412,
RF_5_t17_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_5_t17_pruned_with_sigma_0_1,6.0,0.8399591681937242,
RF_5_t17_pruned_with_sigma_0_2,6.0,0.7891429455847656,
RF_5_t17_pruned_with_sigma_0_3,6.0,0.7791632551550747,
RF_5_t18,0.0,0.6059553473007412,
RF_5_t18_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_5_t18_pruned_with_sigma_0_1,3.0,0.8632826834625277,
RF_5_t18_pruned_with_sigma_0_2,5.0,0.8773987209342167,
RF_5_t18_pruned_with_sigma_0_3,5.0,0.8698034851175391,
RF_5_t19,0.0,0.6059553473007412,
RF_5_t19_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_5_t19_pruned_with_sigma_0_1,3.0,0.8632826834625277,
RF_5_t19_pruned_with_sigma_0_2,5.0,0.8773987209342167,
RF_5_t19_pruned_with_sigma_0_3,5.0,0.8698034851175391,
RF_5_t20,0.0,0.6059553473007412,
RF_5_t20_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_5_t20_pruned_with_sigma_0_1,3.0,0.8632826834625277,
RF_5_t20_pruned_with_sigma_0_2,4.0,0.8254433192855852,
RF_5_t20_pruned_with_sigma_0_3,4.0,0.8593748338549551,
RF_5_t21,0.0,0.6059553473007412,
RF_5_t21_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_5_t21_pruned_with_sigma_0_1,2.0,0.851331582386085,
RF_5_t21_pruned_with_sigma_0_2,3.0,0.8365508465865391,
RF_5_t21_pruned_with_sigma_0_3,2.0,0.797216442836062,
RF_5_t22,0.0,0.6059553473007412,
RF_5_t22_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_5_t22_pruned_with_sigma_0_1,1.0,0.791132314664833,
RF_5_t22_pruned_with_sigma_0_2,1.0,0.7587501875592954,
RF_5_t22_pruned_with_sigma_0_3,0.0,0.6059553473007412,
RF_5_t23,0.0,0.6059553473007412,
RF_5_t23_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_5_t23_pruned_with_sigma_0_1,0.0,0.6059553473007412,
RF_5_t23_pruned_with_sigma_0_2,0.0,0.6059553473007412,
RF_5_t23_pruned_with_sigma_0_3,0.0,0.6059553473007412,
RF_5_t24,0.0,0.6059553473007412,
RF_5_t24_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_5_t24_pruned_with_sigma_0_1,0.0,0.6059553473007412,
RF_5_t24_pruned_with_sigma_0_2,0.0,0.6059553473007412,
RF_5_t24_pruned_with_sigma_0_3,0.0,0.6059553473007412,
RF_5_t25,0.0,0.6059553473007412,
RF_5_t25_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_5_t25_pruned_with_sigma_0_1,0.0,0.6059553473007412,
RF_5_t25_pruned_with_sigma_0_2,0.0,0.6059553473007412,
RF_5_t25_pruned_with_sigma_0_3,0.0,0.6059553473007412,
RF_10_t2,200.8,0.9195622868174466,
RF_10_t2_pruned_with_sigma_0_0,215.5,0.9236967434980429,
RF_10_t2_pruned_with_sigma_0_1,324.9,0.8950005848305587,
RF_10_t2_pruned_with_sigma_0_2,313.4,0.8591600415406917,
RF_10_t2_pruned_with_sigma_0_3,317.8,0.8226519643808654,
RF_10_t3,184.2,0.9213000015359185,
RF_10_t3_pruned_with_sigma_0_0,201.7,0.9239176794868614,
RF_10_t3_pruned_with_sigma_0_1,225.3,0.9306513830947342,
RF_10_t3_pruned_with_sigma_0_2,244.0,0.9171721611202281,
RF_10_t3_pruned_with_sigma_0_3,265.6,0.9113136948413219,
RF_10_t4,75.0,0.9139148321300002,
RF_10_t4_pruned_with_sigma_0_0,199.0,0.929129405871226,
RF_10_t4_pruned_with_sigma_0_1,168.7,0.9273898007913525,
RF_10_t4_pruned_with_sigma_0_2,131.0,0.9223876682273963,
RF_10_t4_pruned_with_sigma_0_3,127.2,0.921527553789643,
RF_10_t5,43.0,0.9076111857410039,
RF_10_t5_pruned_with_sigma_0_0,144.0,0.925215412589098,
RF_10_t5_pruned_with_sigma_0_1,131.5,0.9243467915250372,
RF_10_t5_pruned_with_sigma_0_2,101.5,0.9171679078070746,
RF_10_t5_pruned_with_sigma_0_3,89.9,0.9056506446723116,
RF_10_t6,29.0,0.9060910988788976,
RF_10_t6_pruned_with_sigma_0_0,100.0,0.913890730022129,
RF_10_t6_pruned_with_sigma_0_1,122.8,0.9215190471633354,
RF_10_t6_pruned_with_sigma_0_2,96.5,0.9128210217639671,
RF_10_t6_pruned_with_sigma_0_3,76.5,0.8960830530281818,
RF_10_t7,18.0,0.8789051026761611,
RF_10_t7_pruned_with_sigma_0_0,71.0,0.9054126954308783,
RF_10_t7_pruned_with_sigma_0_1,110.0,0.9147848709651122,
RF_10_t7_pruned_with_sigma_0_2,87.0,0.9017385417515852,
RF_10_t7_pruned_with_sigma_0_3,73.8,0.886088712297628,
RF_10_t8,8.0,0.8676196451082763,
RF_10_t8_pruned_with_sigma_0_0,56.0,0.9138987640580861,
RF_10_t8_pruned_with_sigma_0_1,96.0,0.9165150242379776,
RF_10_t8_pruned_with_sigma_0_2,83.0,0.8982593315918379,
RF_10_t8_pruned_with_sigma_0_3,68.0,0.9015289479311767,
RF_10_t9,5.0,0.8810917782275263,
RF_10_t9_pruned_with_sigma_0_0,42.0,0.9102151585717847,
RF_10_t9_pruned_with_sigma_0_1,86.0,0.9141239533600583,
RF_10_t9_pruned_with_sigma_0_2,75.0,0.891089427090533,
RF_10_t9_pruned_with_sigma_0_3,65.0,0.9002245985640341,
RF_10_t10,5.0,0.8810917782275263,
RF_10_t10_pruned_with_sigma_0_0,38.0,0.9097832109915064,
RF_10_t10_pruned_with_sigma_0_1,76.0,0.9130395948010335,
RF_10_t10_pruned_with_sigma_0_2,68.0,0.9071759300282727,
RF_10_t10_pruned_with_sigma_0_3,60.0,0.901523749437322,
RF_10_t11,4.0,0.8782654516368759,
RF_10_t11_pruned_with_sigma_0_0,33.0,0.9078221973324638,
RF_10_t11_pruned_with_sigma_0_1,64.0,0.9128214943543176,
RF_10_t11_pruned_with_sigma_0_2,62.0,0.9086974346614303,
RF_10_t11_pruned_with_sigma_0_3,54.0,0.9021813589099231,
RF_10_t12,1.0,0.6557571547225363,
RF_10_t12_pruned_with_sigma_0_0,24.0,0.9115299049266362,
RF_10_t12_pruned_with_sigma_0_1,53.0,0.9130391222106832,
RF_10_t12_pruned_with_sigma_0_2,60.0,0.9110870877682984,
RF_10_t12_pruned_with_sigma_0_3,53.0,0.9050072129102231,
RF_10_t13,1.0,0.6557571547225363,
RF_10_t13_pruned_with_sigma_0_0,23.0,0.9154391723052603,
RF_10_t13_pruned_with_sigma_0_1,46.0,0.9093441745559719,
RF_10_t13_pruned_with_sigma_0_2,58.0,0.9076107131506536,
RF_10_t13_pruned_with_sigma_0_3,48.0,0.9021832492713248,
RF_10_t14,1.0,0.6557571547225363,
RF_10_t14_pruned_with_sigma_0_0,21.0,0.9139105788168465,
RF_10_t14_pruned_with_sigma_0_1,43.0,0.9126095375821569,
RF_10_t14_pruned_with_sigma_0_2,50.0,0.9071754574379224,
RF_10_t14_pruned_with_sigma_0_3,45.0,0.8989249751003958,
RF_10_t15,0.0,0.6059553473007412,
RF_10_t15_pruned_with_sigma_0_0,16.0,0.8810837441915693,
RF_10_t15_pruned_with_sigma_0_1,37.0,0.9115223434810297,
RF_10_t15_pruned_with_sigma_0_2,45.0,0.9032609915654437,
RF_10_t15_pruned_with_sigma_0_3,44.0,0.8997926509837558,
RF_10_t16,0.0,0.6059553473007412,
RF_10_t16_pruned_with_sigma_0_0,13.0,0.8760839745793649,
RF_10_t16_pruned_with_sigma_0_1,35.0,0.9121756996404768,
RF_10_t16_pruned_with_sigma_0_2,41.0,0.9021771055967693,
RF_10_t16_pruned_with_sigma_0_3,41.0,0.9017446854261406,
RF_10_t17,0.0,0.6059553473007412,
RF_10_t17_pruned_with_sigma_0_0,11.0,0.870222200168006,
RF_10_t17_pruned_with_sigma_0_1,28.0,0.9045625053904838,
RF_10_t17_pruned_with_sigma_0_2,40.0,0.898700258388774,
RF_10_t17_pruned_with_sigma_0_3,38.0,0.9017442128357903,
RF_10_t18,0.0,0.6059553473007412,
RF_10_t18_pruned_with_sigma_0_0,7.0,0.7798114128206673,
RF_10_t18_pruned_with_sigma_0_1,26.0,0.9034729483376044,
RF_10_t18_pruned_with_sigma_0_2,37.0,0.8993526693675206,
RF_10_t18_pruned_with_sigma_0_3,35.0,0.8987106553764832,
RF_10_t19,0.0,0.6059553473007412,
RF_10_t19_pruned_with_sigma_0_0,6.0,0.7726377275965591,
RF_10_t19_pruned_with_sigma_0_1,23.0,0.9056482817205597,
RF_10_t19_pruned_with_sigma_0_2,33.0,0.8954471827116997,
RF_10_t19_pruned_with_sigma_0_3,32.0,0.8971896233336759,
RF_10_t20,0.0,0.6059553473007412,
RF_10_t20_pruned_with_sigma_0_0,5.0,0.7726377275965591,
RF_10_t20_pruned_with_sigma_0_1,19.0,0.9084783890340136,
RF_10_t20_pruned_with_sigma_0_2,30.0,0.8956638653873646,
RF_10_t20_pruned_with_sigma_0_3,29.0,0.8945851779125448,
RF_10_t21,0.0,0.6059553473007412,
RF_10_t21_pruned_with_sigma_0_0,3.0,0.6420584145302629,
RF_10_t21_pruned_with_sigma_0_1,17.0,0.904997761103215,
RF_10_t21_pruned_with_sigma_0_2,26.0,0.8878486387625694,
RF_10_t21_pruned_with_sigma_0_3,27.0,0.890677328304972,
RF_10_t22,0.0,0.6059553473007412,
RF_10_t22_pruned_with_sigma_0_0,2.0,0.7619975921521647,
RF_10_t22_pruned_with_sigma_0_1,15.0,0.9073836334872796,
RF_10_t22_pruned_with_sigma_0_2,18.0,0.8735126104827629,
RF_10_t22_pruned_with_sigma_0_3,21.0,0.8511286048305822,
RF_10_t23,0.0,0.6059553473007412,
RF_10_t23_pruned_with_sigma_0_0,1.0,0.7626504757212615,
RF_10_t23_pruned_with_sigma_0_1,9.0,0.8958578637262095,
RF_10_t23_pruned_with_sigma_0_2,14.0,0.8691775391984159,
RF_10_t23_pruned_with_sigma_0_3,19.0,0.86135002522451,
RF_10_t24,0.0,0.6059553473007412,
RF_10_t24_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_10_t24_pruned_with_sigma_0_1,6.0,0.8845638995320174,
RF_10_t24_pruned_with_sigma_0_2,10.0,0.8472136663677532,
RF_10_t24_pruned_with_sigma_0_3,14.0,0.824187174134185,
RF_10_t25,0.0,0.6059553473007412,
RF_10_t25_pruned_with_sigma_0_0,0.0,0.6059553473007412,
RF_10_t25_pruned_with_sigma_0_1,3.0,0.6253270620593833,
RF_10_t25_pruned_with_sigma_0_2,3.0,0.5909990441860163,
RF_10_t25_pruned_with_sigma_0_3,5.0,0.6149305469406273,
RF_15_t2,202.4,0.9232558167011067,
RF_15_t2_pruned_with_sigma_0_0,258.2,0.9182536841371505,
RF_15_t2_pruned_with_sigma_0_1,339.6,0.9052073549236235,
RF_15_t2_pruned_with_sigma_0_2,329.6,0.9045573068966292,
RF_15_t2_pruned_with_sigma_0_3,343.4,0.8843514701695063,
RF_15_t3,199.0,0.9204304352911571,
RF_15_t3_pruned_with_sigma_0_0,207.4,0.916305430417569,
RF_15_t3_pruned_with_sigma_0_1,252.3,0.9156468757642673,
RF_15_t3_pruned_with_sigma_0_2,327.4,0.9036934117360724,
RF_15_t3_pruned_with_sigma_0_3,331.7,0.8991260622944971,
RF_15_t4,187.0,0.9197775517220602,
RF_15_t4_pruned_with_sigma_0_0,200.6,0.9074044274626978,
RF_15_t4_pruned_with_sigma_0_1,210.5,0.9230329903508865,
RF_15_t4_pruned_with_sigma_0_2,231.4,0.9217267506223423,
RF_15_t4_pruned_with_sigma_0_3,262.5,0.8960863611606346,
RF_15_t5,94.0,0.9126114279435585,
RF_15_t5_pruned_with_sigma_0_0,199.0,0.9197836953966154,
RF_15_t5_pruned_with_sigma_0_1,202.6,0.9186894124402322,
RF_15_t5_pruned_with_sigma_0_2,160.7,0.9167246180583861,
RF_15_t5_pruned_with_sigma_0_3,162.1,0.9047711540301915,
RF_15_t6,56.0,0.8863172097320531,
RF_15_t6_pruned_with_sigma_0_0,190.0,0.9267331364994524,
RF_15_t6_pruned_with_sigma_0_1,181.8,0.8901952861475497,
RF_15_t6_pruned_with_sigma_0_2,140.6,0.9119438940735989,
RF_15_t6_pruned_with_sigma_0_3,128.0,0.9045521084027746,
RF_15_t7,42.0,0.8863143741899506,
RF_15_t7_pruned_with_sigma_0_0,127.0,0.929125625148423,
RF_15_t7_pruned_with_sigma_0_1,169.0,0.8893295006255915,
RF_15_t7_pruned_with_sigma_0_2,126.0,0.9130306155843757,
RF_15_t7_pruned_with_sigma_0_3,114.2,0.9089023025783348,
RF_15_t8,31.0,0.8698025399368383,
RF_15_t8_pruned_with_sigma_0_0,96.0,0.9151946067989212,
RF_15_t8_pruned_with_sigma_0_1,149.0,0.9106461609713621,
RF_15_t8_pruned_with_sigma_0_2,118.0,0.9184675312707127,
RF_15_t8_pruned_with_sigma_0_3,99.6,0.905862128854122,
RF_15_t9,21.0,0.847201851608993,
RF_15_t9_pruned_with_sigma_0_0,73.0,0.9110710196963844,
RF_15_t9_pruned_with_sigma_0_1,139.0,0.9108633162373774,
RF_15_t9_pruned_with_sigma_0_2,111.0,0.9184680038610631,
RF_15_t9_pruned_with_sigma_0_3,95.0,0.9054278183220916,
RF_15_t10,11.0,0.7450509747766716,
RF_15_t10_pruned_with_sigma_0_0,60.0,0.9056336314196969,
RF_15_t10_pruned_with_sigma_0_1,119.0,0.9165145516476271,
RF_15_t10_pruned_with_sigma_0_2,102.0,0.9169474444086063,
RF_15_t10_pruned_with_sigma_0_3,88.0,0.9089008848072835,
RF_15_t11,5.0,0.6557571547225363,
RF_15_t11_pruned_with_sigma_0_0,54.0,0.9082442205153833,
RF_15_t11_pruned_with_sigma_0_1,104.0,0.9160774055734942,
RF_15_t11_pruned_with_sigma_0_2,94.0,0.9132506063924932,
RF_15_t11_pruned_with_sigma_0_3,84.0,0.9078136907061563,
RF_15_t12,2.0,0.6557571547225363,
RF_15_t12_pruned_with_sigma_0_0,48.0,0.9084580676489458,
RF_15_t12_pruned_with_sigma_0_1,92.0,0.914772111025651,
RF_15_t12_pruned_with_sigma_0_2,87.0,0.9121643574720668,
RF_15_t12_pruned_with_sigma_0_3,81.0,0.9054221472378867,
RF_15_t13,1.0,0.6557571547225363,
RF_15_t13_pruned_with_sigma_0_0,42.0,0.9110776359612901,
RF_15_t13_pruned_with_sigma_0_1,85.0,0.9102023986323236,
RF_15_t13_pruned_with_sigma_0_2,83.0,0.9119443666639493,
RF_15_t13_pruned_with_sigma_0_3,76.0,0.9091152045311963,
RF_15_t14,1.0,0.6557571547225363,
RF_15_t14_pruned_with_sigma_0_0,40.0,0.9095551861474316,
RF_15_t14_pruned_with_sigma_0_1,78.0,0.9084670468656035,
RF_15_t14_pruned_with_sigma_0_2,80.0,0.9139039625519405,
RF_15_t14_pruned_with_sigma_0_3,70.0,0.9060736130359321,
RF_15_t15,1.0,0.6557571547225363,
RF_15_t15_pruned_with_sigma_0_0,38.0,0.909992804811915,
RF_15_t15_pruned_with_sigma_0_1,66.0,0.8960684027273189,
RF_15_t15_pruned_with_sigma_0_2,73.0,0.9136844443341733,
RF_15_t15_pruned_with_sigma_0_3,65.0,0.9028096677807984,
RF_15_t16,1.0,0.6557571547225363,
RF_15_t16_pruned_with_sigma_0_0,34.0,0.9093441745559717,
RF_15_t16_pruned_with_sigma_0_1,61.0,0.9017290899445769,
RF_15_t16_pruned_with_sigma_0_2,67.0,0.9130395948010335,
RF_15_t16_pruned_with_sigma_0_3,58.0,0.8915105050927516,
RF_15_t17,1.0,0.6557571547225363,
RF_15_t17_pruned_with_sigma_0_0,28.0,0.8984698705929473,
RF_15_t17_pruned_with_sigma_0_1,52.0,0.9030386378055739,
RF_15_t17_pruned_with_sigma_0_2,58.0,0.90412441413565,
RF_15_t17_pruned_with_sigma_0_3,53.0,0.8912924046460358,
RF_15_t18,0.0,0.6059553473007412,
RF_15_t18_pruned_with_sigma_0_0,25.0,0.9006428410241505,
RF_15_t18_pruned_with_sigma_0_1,46.0,0.8999975189006604,
RF_15_t18_pruned_with_sigma_0_2,50.0,0.902162927886257,
RF_15_t18_pruned_with_sigma_0_3,48.0,0.8928153270502447,
RF_15_t19,0.0,0.6059553473007412,
RF_15_t19_pruned_with_sigma_0_0,22.0,0.8982498797848295,
RF_15_t19_pruned_with_sigma_0_1,41.0,0.8978188773852521,
RF_15_t19_pruned_with_sigma_0_2,49.0,0.8995532839712712,
RF_15_t19_pruned_with_sigma_0_3,46.0,0.8895527995661621,
RF_15_t20,0.0,0.6059553473007412,
RF_15_t20_pruned_with_sigma_0_0,20.0,0.8904280368951287,
RF_15_t20_pruned_with_sigma_0_1,39.0,0.9026024369121419,
RF_15_t20_pruned_with_sigma_0_2,45.0,0.9010771515561808,
RF_15_t20_pruned_with_sigma_0_3,44.0,0.8884651328746843,
RF_15_t21,0.0,0.6059553473007412,
RF_15_t21_pruned_with_sigma_0_0,17.0,0.8636886385735332,
RF_15_t21_pruned_with_sigma_0_1,33.0,0.9045653409325862,
RF_15_t21_pruned_with_sigma_0_2,38.0,0.8956407084601944,
RF_15_t21_pruned_with_sigma_0_3,40.0,0.8921619708907974,
RF_15_t22,0.0,0.6059553473007412,
RF_15_t22_pruned_with_sigma_0_0,14.0,0.8134955263415954,
RF_15_t22_pruned_with_sigma_0_1,28.0,0.9052210600437854,
RF_15_t22_pruned_with_sigma_0_2,35.0,0.8919467059861839,
RF_15_t22_pruned_with_sigma_0_3,38.0,0.8917286055394678,
RF_15_t23,0.0,0.6059553473007412,
RF_15_t23_pruned_with_sigma_0_0,6.0,0.6657458243688851,
RF_15_t23_pruned_with_sigma_0_1,24.0,0.9021681263801116,
RF_15_t23_pruned_with_sigma_0_2,31.0,0.8826071391861285,
RF_15_t23_pruned_with_sigma_0_3,31.0,0.8780421526963051,
RF_15_t24,0.0,0.6059553473007412,
RF_15_t24_pruned_with_sigma_0_0,3.0,0.5670061046858514,
RF_15_t24_pruned_with_sigma_0_1,20.0,0.9010856581824884,
RF_15_t24_pruned_with_sigma_0_2,26.0,0.8839010915655617,
RF_15_t24_pruned_with_sigma_0_3,29.0,0.8747819881639746,
RF_15_t25,0.0,0.6059553473007412,
RF_15_t25_pruned_with_sigma_0_0,1.0,0.5600576087637155,
RF_15_t25_pruned_with_sigma_0_1,12.0,0.902610470948099,
RF_15_t25_pruned_with_sigma_0_2,18.0,0.8991279526558987,
RF_15_t25_pruned_with_sigma_0_3,21.0,0.8786983443978549,
RF_20_t2,203.9,0.9173883712055424,
RF_20_t2_pruned_with_sigma_0_0,321.0,0.8856553469462984,
RF_20_t2_pruned_with_sigma_0_1,346.2,0.8995513936098695,
RF_20_t2_pruned_with_sigma_0_2,350.2,0.8895570528793157,
RF_20_t2_pruned_with_sigma_0_3,359.9,0.89934085460876,
RF_20_t3,199.0,0.9093498456401768,
RF_20_t3_pruned_with_sigma_0_0,210.4,0.9128224395350184,
RF_20_t3_pruned_with_sigma_0_1,290.7,0.882176136786551,
RF_20_t3_pruned_with_sigma_0_2,337.5,0.849798262994167,
RF_20_t3_pruned_with_sigma_0_3,334.3,0.8650133093257434,
RF_20_t4,199.0,0.9073874142100828,
RF_20_t4_pruned_with_sigma_0_0,200.6,0.9076088227892518,
RF_20_t4_pruned_with_sigma_0_1,230.2,0.9232558167011067,
RF_20_t4_pruned_with_sigma_0_2,260.2,0.9119524006999062,
RF_20_t4_pruned_with_sigma_0_3,309.7,0.8615298458528425,
RF_20_t5,153.0,0.9084798068050647,
RF_20_t5_pruned_with_sigma_0_0,200.6,0.913471542381312,
RF_20_t5_pruned_with_sigma_0_1,207.1,0.9069445970517451,
RF_20_t5_pruned_with_sigma_0_2,217.4,0.9128186588122149,
RF_20_t5_pruned_with_sigma_0_3,224.8,0.9056449735881069,
RF_20_t6,100.0,0.8997888702609526,
