 , RF_15, RF_15_pruned_with_sigma_0_0, RF_15_pruned_with_sigma_0_1, RF_15_pruned_with_sigma_0_2, RF_15_pruned_with_sigma_0_3
number of frequent subtrees (FS), 1049, 893, 726, 921, 1037
ratio of FS compared to RF_15, 1, 0.85, 0.69, 0.88, 0.99
average frequency of all FS, 2.85, 4.51, 5.21, 4.35, 4.02
average size of all FS, 1.01, 1.1, 1.65, 1.83, 1.9
number of FS of size 1, 1040, 804, 261, 171, 132
number of FS of size 2, 8, 87, 456, 731, 872
number of FS of size 3, 0, 1, 8, 18, 31
number of FS of size 4, 0, 0, 0, 0, 1
number of FS of size 5, 0, 0, 0, 0, 0
number of FS of size 6, 0, 0, 0, 0, 0
