 , RF_5, RF_5_pruned_with_sigma_0_0, RF_5_pruned_with_sigma_0_1, RF_5_pruned_with_sigma_0_2, RF_5_pruned_with_sigma_0_3
number of frequent subtrees (FS), 73, 134, 127, 113, 107
ratio of FS compared to RF_5, 1, 1.84, 1.74, 1.55, 1.47
average frequency of all FS, 2.95, 3.21, 4.71, 4.92, 4.82
average size of all FS, 1.04, 1.04, 1.5, 1.61, 1.69
number of FS of size 1, 69, 128, 66, 46, 36
number of FS of size 2, 2, 4, 55, 62, 65
number of FS of size 3, 1, 1, 5, 4, 5
number of FS of size 4, 0, 0, 0, 0, 0
number of FS of size 5, 0, 0, 0, 0, 0
number of FS of size 6, 0, 0, 0, 0, 0
