 , RF_15, RF_15_pruned_with_sigma_0_0, RF_15_pruned_with_sigma_0_1, RF_15_pruned_with_sigma_0_2, RF_15_pruned_with_sigma_0_3
number of frequent subtrees (FS), 20866, 11328, 5920, 7663, 9684
ratio of FS compared to RF_15, 1, 0.54, 0.28, 0.37, 0.46
average frequency of all FS, 2.85, 5.88, 7.44, 5.08, 4.02
average size of all FS, 1.0, 1.02, 1.43, 1.73, 1.84
number of FS of size 1, 20864, 11143, 3388, 2057, 1528
number of FS of size 2, 1, 184, 2525, 5593, 8131
number of FS of size 3, 0, 0, 6, 12, 24
number of FS of size 4, 0, 0, 0, 0, 0
number of FS of size 5, 0, 0, 0, 0, 0
number of FS of size 6, 0, 0, 0, 0, 0
