RF,comparisons Count,accuracy,
RF_5_t21_pruned_with_sigma_0_0,0.0,0.09871666434732093,
RF_5_t21_pruned_with_sigma_0_1,0.0,0.09871666434732093,
RF_5_t21_pruned_with_sigma_0_2,0.0,0.09871666434732093,
RF_5_t21_pruned_with_sigma_0_3,0.0,0.09871666434732093,
RF_5_t22,0.0,0.09871666434732093,
RF_5_t22_pruned_with_sigma_0_0,0.0,0.09871666434732093,
RF_5_t22_pruned_with_sigma_0_1,0.0,0.09871666434732093,
RF_5_t22_pruned_with_sigma_0_2,0.0,0.09871666434732093,
RF_5_t22_pruned_with_sigma_0_3,0.0,0.09871666434732093,
RF_5_t23,0.0,0.09871666434732093,
RF_5_t23_pruned_with_sigma_0_0,0.0,0.09871666434732093,
RF_5_t23_pruned_with_sigma_0_1,0.0,0.09871666434732093,
RF_5_t23_pruned_with_sigma_0_2,0.0,0.09871666434732093,
RF_5_t23_pruned_with_sigma_0_3,0.0,0.09871666434732093,
RF_5_t24,0.0,0.09871666434732093,
RF_5_t24_pruned_with_sigma_0_0,0.0,0.09871666434732093,
RF_5_t24_pruned_with_sigma_0_1,0.0,0.09871666434732093,
RF_5_t24_pruned_with_sigma_0_2,0.0,0.09871666434732093,
RF_5_t24_pruned_with_sigma_0_3,0.0,0.09871666434732093,
RF_5_t25,0.0,0.09871666434732093,
RF_5_t25_pruned_with_sigma_0_0,0.0,0.09871666434732093,
RF_5_t25_pruned_with_sigma_0_1,0.0,0.09871666434732093,
RF_5_t25_pruned_with_sigma_0_2,0.0,0.09871666434732093,
RF_5_t25_pruned_with_sigma_0_3,0.0,0.09871666434732093,
RF_10_t2,201.0,0.733350186124619,
RF_10_t2_pruned_with_sigma_0_0,203.6,0.706150756311372,
RF_10_t2_pruned_with_sigma_0_1,301.7,0.8037842580570118,
RF_10_t2_pruned_with_sigma_0_2,301.2,0.763134035573618,
RF_10_t2_pruned_with_sigma_0_3,300.3,0.7481003831575439,
RF_10_t3,199.0,0.7646677786453182,
RF_10_t3_pruned_with_sigma_0_0,200.0,0.6841175228567323,
RF_10_t3_pruned_with_sigma_0_1,208.2,0.7094504661892556,
RF_10_t3_pruned_with_sigma_0_2,217.9,0.7137337000558668,
RF_10_t3_pruned_with_sigma_0_3,221.3,0.751783360985534,
RF_10_t4,199.0,0.760600239464216,
RF_10_t4_pruned_with_sigma_0_0,200.0,0.6750176495188253,
RF_10_t4_pruned_with_sigma_0_1,200.6,0.6459330700505509,
RF_10_t4_pruned_with_sigma_0_2,200.8,0.630983505225154,
RF_10_t4_pruned_with_sigma_0_3,200.8,0.6503497535623881,
RF_10_t5,164.0,0.7690339470793747,
RF_10_t5_pruned_with_sigma_0_0,200.0,0.7214168851899145,
RF_10_t5_pruned_with_sigma_0_1,200.0,0.6477332367235089,
RF_10_t5_pruned_with_sigma_0_2,200.0,0.6201169974024308,
RF_10_t5_pruned_with_sigma_0_3,200.0,0.6390993374715386,
RF_10_t6,75.0,0.7430839339987294,
RF_10_t6_pruned_with_sigma_0_0,199.0,0.7171830932045307,
RF_10_t6_pruned_with_sigma_0_1,200.0,0.6659669478513532,
RF_10_t6_pruned_with_sigma_0_2,200.0,0.6433672199436578,
RF_10_t6_pruned_with_sigma_0_3,200.0,0.6490827117366621,
RF_10_t7,29.0,0.6276670612356416,
RF_10_t7_pruned_with_sigma_0_0,199.0,0.7097164468854267,
RF_10_t7_pruned_with_sigma_0_1,200.0,0.6360327622215441,
RF_10_t7_pruned_with_sigma_0_2,200.0,0.6488503187539636,
RF_10_t7_pruned_with_sigma_0_3,200.0,0.6533165814834565,
RF_10_t8,15.0,0.5683328655156143,
RF_10_t8_pruned_with_sigma_0_0,199.0,0.7363845849294289,
RF_10_t8_pruned_with_sigma_0_1,200.0,0.6376659734509179,
RF_10_t8_pruned_with_sigma_0_2,200.0,0.6571000541345684,
RF_10_t8_pruned_with_sigma_0_3,200.0,0.6540332718298643,
RF_10_t9,7.0,0.5407170314402563,
RF_10_t9_pruned_with_sigma_0_0,199.0,0.7457345773522772,
RF_10_t9_pruned_with_sigma_0_1,200.0,0.6601666932079349,
RF_10_t9_pruned_with_sigma_0_2,200.0,0.6626340115608336,
RF_10_t9_pruned_with_sigma_0_3,200.0,0.6560331094794942,
RF_10_t10,2.0,0.26515104051518384,
RF_10_t10_pruned_with_sigma_0_0,199.0,0.7389016326055732,
RF_10_t10_pruned_with_sigma_0_1,200.0,0.6529500703707151,
RF_10_t10_pruned_with_sigma_0_2,200.0,0.6537505676698244,
RF_10_t10_pruned_with_sigma_0_3,200.0,0.6736835886595284,
RF_10_t11,1.0,0.1729665255258692,
RF_10_t11_pruned_with_sigma_0_0,199.0,0.7319010983674306,
RF_10_t11_pruned_with_sigma_0_1,200.0,0.6629669821424842,
RF_10_t11_pruned_with_sigma_0_2,200.0,0.6604174945720207,
RF_10_t11_pruned_with_sigma_0_3,200.0,0.6816502002583367,
RF_10_t12,0.0,0.09871666434732093,
RF_10_t12_pruned_with_sigma_0_0,168.0,0.7384340961317047,
RF_10_t12_pruned_with_sigma_0_1,200.0,0.6915341439904363,
RF_10_t12_pruned_with_sigma_0_2,200.0,0.6848511519967031,
RF_10_t12_pruned_with_sigma_0_3,200.0,0.6956005402684915,
RF_10_t13,0.0,0.09871666434732093,
RF_10_t13_pruned_with_sigma_0_0,117.0,0.7341005724248568,
RF_10_t13_pruned_with_sigma_0_1,200.0,0.7025008198660692,
RF_10_t13_pruned_with_sigma_0_2,200.0,0.6979674946424537,
RF_10_t13_pruned_with_sigma_0_3,200.0,0.7069169591650504,
RF_10_t14,0.0,0.09871666434732093,
RF_10_t14_pruned_with_sigma_0_0,77.0,0.7579172825706048,
RF_10_t14_pruned_with_sigma_0_1,200.0,0.7469681870295953,
RF_10_t14_pruned_with_sigma_0_2,200.0,0.722784267265611,
RF_10_t14_pruned_with_sigma_0_3,200.0,0.7198506989974479,
RF_10_t15,0.0,0.09871666434732093,
RF_10_t15_pruned_with_sigma_0_0,54.0,0.7407006047462651,
RF_10_t15_pruned_with_sigma_0_1,200.0,0.7675350163936272,
RF_10_t15_pruned_with_sigma_0_2,200.0,0.7257675146299631,
RF_10_t15_pruned_with_sigma_0_3,200.0,0.7250835840863862,
RF_10_t16,0.0,0.09871666434732093,
RF_10_t16_pruned_with_sigma_0_0,34.0,0.7325844457915116,
RF_10_t16_pruned_with_sigma_0_1,200.0,0.7792521130467436,
RF_10_t16_pruned_with_sigma_0_2,200.0,0.7507845942391386,
RF_10_t16_pruned_with_sigma_0_3,200.0,0.7457671438897843,
RF_10_t17,0.0,0.09871666434732093,
RF_10_t17_pruned_with_sigma_0_0,19.0,0.698400252961147,
RF_10_t17_pruned_with_sigma_0_1,200.0,0.7793186324976549,
RF_10_t17_pruned_with_sigma_0_2,200.0,0.7651343856562868,
RF_10_t17_pruned_with_sigma_0_3,200.0,0.7557344446044013,
RF_10_t18,0.0,0.09871666434732093,
RF_10_t18_pruned_with_sigma_0_0,12.0,0.6013346760692048,
RF_10_t18_pruned_with_sigma_0_1,200.0,0.7972010588981808,
RF_10_t18_pruned_with_sigma_0_2,200.0,0.7713015110875744,
RF_10_t18_pruned_with_sigma_0_3,200.0,0.773634343146456,
RF_10_t19,0.0,0.09871666434732093,
RF_10_t19_pruned_with_sigma_0_0,7.0,0.5171503628931741,
RF_10_t19_pruned_with_sigma_0_1,199.0,0.7936506170356272,
RF_10_t19_pruned_with_sigma_0_2,200.0,0.7813517368209169,
RF_10_t19_pruned_with_sigma_0_3,200.0,0.7770348197348029,
RF_10_t20,0.0,0.09871666434732093,
RF_10_t20_pruned_with_sigma_0_0,3.0,0.3670672223512447,
RF_10_t20_pruned_with_sigma_0_1,199.0,0.8040840581549009,
RF_10_t20_pruned_with_sigma_0_2,200.0,0.7808518339616812,
RF_10_t20_pruned_with_sigma_0_3,200.0,0.7791181712751994,
RF_10_t21,0.0,0.09871666434732093,
RF_10_t21_pruned_with_sigma_0_0,1.0,0.17295011847742686,
RF_10_t21_pruned_with_sigma_0_1,163.0,0.8069174556067502,
