Frequency,DSF_RF_5,DSF_RF_10,DSF_RF_15,DSF_RF_20,,Normal Features,DT Classifier_5,RF Classifier_5,DT Classifier_10,RF Classifier_10,DT Classifier_15,RF Classifier_15,DT Classifier_20,RF Classifier_20
t2,0.8332361689397618,0.768403964137497,0.7299837718250891,0.7604802726808715,0.7951537437315881,0.8478242720757689,0.8440774234935912']0.8554099747962024,0.8587882777254036']0.8412826869413695,0.8623814976359887']0.8270939645939647,0.8632414673582339']
t3,0.8287522809229395,0.794140168915618,0.7268204000239928,0.7321334179118609,0.7951537437315881,0.8478242720757689,0.8440774234935912']0.8554099747962024,0.8587882777254036']0.8412826869413695,0.8623814976359887']0.8270939645939647,0.8632414673582339']
t4,0.8289365561072148,0.7689259639858441,0.7069499726685355,0.743865321709633,0.7951537437315881,0.8478242720757689,0.8440774234935912']0.8554099747962024,0.8587882777254036']0.8412826869413695,0.8623814976359887']0.8270939645939647,0.8632414673582339']
t5,0.8291514730885989,0.7416232739586033,0.7737782939130244,0.7305979045500004,0.7951537437315881,0.8478242720757689,0.8440774234935912']0.8554099747962024,0.8587882777254036']0.8412826869413695,0.8623814976359887']0.8270939645939647,0.8632414673582339']
t6,0.8298884936609487,0.7582382626544304,0.7551363536393476,0.6994566716123602,0.7951537437315881,0.8478242720757689,0.8440774234935912']0.8554099747962024,0.8587882777254036']0.8412826869413695,0.8623814976359887']0.8270939645939647,0.8632414673582339']
t7,0.8313320627691887,0.7870764471812375,0.7725192357677388,0.7286938078105741,0.7951537437315881,0.8478242720757689,0.8440774234935912']0.8554099747962024,0.8587882777254036']0.8412826869413695,0.8623814976359887']0.8270939645939647,0.8632414673582339']
t8,0.8192008960721534,0.776450345387471,0.7832989615175243,0.7428825773137151,0.7951537437315881,0.8478242720757689,0.8440774234935912']0.8554099747962024,0.8587882777254036']0.8412826869413695,0.8623814976359887']0.8270939645939647,0.8632414673582339']
t9,0.8025552797259383,0.7536624020905458,0.753508830005836,0.7447253291564669,0.7951537437315881,0.8478242720757689,0.8440774234935912']0.8554099747962024,0.8587882777254036']0.8412826869413695,0.8623814976359887']0.8270939645939647,0.8632414673582339']
t10,0.8108166298286059,0.7671754629089957,0.7634900582505373,0.7549830597734789,0.7951537437315881,0.8478242720757689,0.8440774234935912']0.8554099747962024,0.8587882777254036']0.8412826869413695,0.8623814976359887']0.8270939645939647,0.8632414673582339']
t11,0.8207364660208972,0.7650564303258914,0.74748924000421,0.7459536228997307,0.7951537437315881,0.8478242720757689,0.8440774234935912']0.8554099747962024,0.8587882777254036']0.8412826869413695,0.8623814976359887']0.8270939645939647,0.8632414673582339']
t12,0.8165596325775967,0.7677589868458133,0.7515123787578878,0.7522495219351507,0.7951537437315881,0.8478242720757689,0.8440774234935912']0.8554099747962024,0.8587882777254036']0.8412826869413695,0.8623814976359887']0.8270939645939647,0.8632414673582339']
t13,0.8157611869438217,0.7609717580525965,0.7502225986507424,0.7529558629858032,0.7951537437315881,0.8478242720757689,0.8440774234935912']0.8554099747962024,0.8587882777254036']0.8412826869413695,0.8623814976359887']0.8270939645939647,0.8632414673582339']
