Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
25,4,0.0,0.0,0,0,0,
26,0,0.0,0.0,0,0,0,
26,1,16785.0,4426.0,0,0.791,0.209,
26,2,11.0,948.0,1,0.011,0.989,
26,3,0.0,0.0,0,0,0,
26,4,0.0,0.0,0,0,0,
27,0,0.0,0.0,0,0,0,
27,1,16604.0,4879.0,0,0.773,0.227,
27,2,192.0,495.0,1,0.279,0.721,
27,3,0.0,0.0,0,0,0,
27,4,0.0,0.0,0,0,0,
28,0,0.0,0.0,0,0,0,
28,1,6207.0,367.0,0,0.944,0.056,
28,2,10589.0,5007.0,0,0.679,0.321,
28,3,0.0,0.0,0,0,0,
28,4,0.0,0.0,0,0,0,
29,0,0.0,0.0,0,0,0,
29,1,14913.0,5112.0,0,0.745,0.255,
29,2,1883.0,262.0,0,0.878,0.122,
29,3,0.0,0.0,0,0,0,
29,4,0.0,0.0,0,0,0,
30,0,0.0,0.0,0,0,0,
30,1,6677.0,485.0,0,0.932,0.068,
30,2,10119.0,4889.0,0,0.674,0.326,
30,3,0.0,0.0,0,0,0,
30,4,0.0,0.0,0,0,0,
31,0,0.0,0.0,0,0,0,
31,1,13963.0,2682.0,0,0.839,0.161,
31,2,2833.0,2692.0,0,0.513,0.487,
31,3,0.0,0.0,0,0,0,
31,4,0.0,0.0,0,0,0,
32,0,0.0,0.0,0,0,0,
32,1,16613.0,5350.0,0,0.756,0.244,
32,2,183.0,24.0,0,0.884,0.116,
32,3,0.0,0.0,0,0,0,
32,4,0.0,0.0,0,0,0,
33,0,0.0,0.0,0,0,0,
33,1,15683.0,5244.0,0,0.749,0.251,
33,2,1113.0,130.0,0,0.895,0.105,
33,3,0.0,0.0,0,0,0,
33,4,0.0,0.0,0,0,0,
34,0,0.0,0.0,0,0,0,
34,1,11147.0,788.0,0,0.934,0.066,
34,2,5649.0,4586.0,0,0.552,0.448,
34,3,0.0,0.0,0,0,0,
34,4,0.0,0.0,0,0,0,
35,0,0.0,0.0,0,0,0,
35,1,10768.0,4260.0,0,0.717,0.283,
35,2,6028.0,1114.0,0,0.844,0.156,
35,3,0.0,0.0,0,0,0,
35,4,0.0,0.0,0,0,0,
36,0,0.0,0.0,0,0,0,
36,1,16152.0,5138.0,0,0.759,0.241,
36,2,644.0,236.0,0,0.732,0.268,
36,3,0.0,0.0,0,0,0,
36,4,0.0,0.0,0,0,0,
37,0,0.0,0.0,0,0,0,
37,1,16194.0,5290.0,0,0.754,0.246,
37,2,602.0,84.0,0,0.878,0.122,
37,3,0.0,0.0,0,0,0,
37,4,0.0,0.0,0,0,0,
38,0,0.0,0.0,0,0,0,
38,1,16103.0,5114.0,0,0.759,0.241,
38,2,693.0,260.0,0,0.727,0.273,
38,3,0.0,0.0,0,0,0,
38,4,0.0,0.0,0,0,0,
39,0,0.0,0.0,0,0,0,
39,1,11836.0,1304.0,0,0.901,0.099,
39,2,4960.0,4070.0,0,0.549,0.451,
39,3,0.0,0.0,0,0,0,
39,4,0.0,0.0,0,0,0,
40,0,0.0,0.0,0,0,0,
40,1,16285.0,5171.0,0,0.759,0.241,
40,2,511.0,203.0,0,0.716,0.284,
40,3,0.0,0.0,0,0,0,
40,4,0.0,0.0,0,0,0,
41,0,0.0,0.0,0,0,0,
41,1,13139.0,2813.0,0,0.824,0.176,
41,2,3657.0,2561.0,0,0.588,0.412,
41,3,0.0,0.0,0,0,0,
41,4,0.0,0.0,0,0,0,
42,0,0.0,0.0,0,0,0,
42,1,3494.0,268.0,0,0.929,0.071,
42,2,13302.0,5106.0,0,0.723,0.277,
42,3,0.0,0.0,0,0,0,
42,4,0.0,0.0,0,0,0,
43,0,0.0,0.0,0,0,0,
43,1,16749.0,5278.0,0,0.76,0.24,
43,2,47.0,96.0,1,0.329,0.671,
43,3,0.0,0.0,0,0,0,
43,4,0.0,0.0,0,0,0,
44,0,0.0,0.0,0,0,0,
44,1,16278.0,4716.0,0,0.775,0.225,
44,2,518.0,658.0,1,0.44,0.56,
44,3,0.0,0.0,0,0,0,
44,4,0.0,0.0,0,0,0,
45,0,0.0,0.0,0,0,0,
45,1,14657.0,5284.0,0,0.735,0.265,
45,2,2139.0,90.0,0,0.96,0.04,
45,3,0.0,0.0,0,0,0,
45,4,0.0,0.0,0,0,0,
46,0,0.0,0.0,0,0,0,
46,1,16739.0,4336.0,0,0.794,0.206,
46,2,57.0,1038.0,1,0.052,0.948,
46,3,0.0,0.0,0,0,0,
46,4,0.0,0.0,0,0,0,
47,0,0.0,0.0,0,0,0,
47,1,2745.0,508.0,0,0.844,0.156,
47,2,14051.0,4866.0,0,0.743,0.257,
47,3,0.0,0.0,0,0,0,
47,4,0.0,0.0,0,0,0,
48,0,0.0,0.0,0,0,0,
48,1,9881.0,5037.0,0,0.662,0.338,
48,2,6915.0,337.0,0,0.954,0.046,
48,3,0.0,0.0,0,0,0,
48,4,0.0,0.0,0,0,0,
49,0,0.0,0.0,0,0,0,
49,1,6564.0,792.0,0,0.892,0.108,
49,2,10232.0,4582.0,0,0.691,0.309,
49,3,0.0,0.0,0,0,0,
49,4,0.0,0.0,0,0,0,
50,0,0.0,0.0,0,0,0,
50,1,16785.0,4426.0,0,0.791,0.209,
50,2,11.0,948.0,1,0.011,0.989,
50,3,0.0,0.0,0,0,0,
50,4,0.0,0.0,0,0,0,
51,0,0.0,0.0,0,0,0,
51,1,16241.0,4875.0,0,0.769,0.231,
