 , RF_5, RF_5_pruned_with_sigma_0_0, RF_5_pruned_with_sigma_0_1, RF_5_pruned_with_sigma_0_2, RF_5_pruned_with_sigma_0_3
number of frequent subtrees (FS), 135, 152, 140, 116, 77
ratio of FS compared to RF_5, 1, 1.13, 1.04, 0.86, 0.57
average frequency of all FS, 4.57, 4.57, 5.02, 5.33, 4.88
average size of all FS, 1.21, 1.24, 1.46, 1.53, 1.57
number of FS of size 0, 1, 1, 1, 1, 1
number of FS of size 1, 107, 117, 83, 61, 37
number of FS of size 2, 24, 30, 48, 46, 34
number of FS of size 3, 3, 4, 7, 7, 4
number of FS of size 4, 0, 0, 1, 1, 1
number of FS of size 5, 0, 0, 0, 0, 0
number of FS of size 6, 0, 0, 0, 0, 0
