RF,comparisons Count,accuracy,
RF_5_t9_pruned_with_sigma_0_0,1.0,0.307538038179693,
RF_5_t9_pruned_with_sigma_0_1,13.0,0.7006639127312146,
RF_5_t9_pruned_with_sigma_0_2,23.0,0.686728728605878,
RF_5_t9_pruned_with_sigma_0_3,25.0,0.7272562992210467,
RF_5_t10,1.0,0.307538038179693,
RF_5_t10_pruned_with_sigma_0_0,1.0,0.307538038179693,
RF_5_t10_pruned_with_sigma_0_1,6.0,0.5341666806238106,
RF_5_t10_pruned_with_sigma_0_2,17.0,0.7268259284180494,
RF_5_t10_pruned_with_sigma_0_3,21.0,0.7234363564071432,
RF_5_t11,0.0,0.24171349360811673,
RF_5_t11_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t11_pruned_with_sigma_0_1,4.0,0.3778828897912831,
RF_5_t11_pruned_with_sigma_0_2,13.0,0.6140484935102876,
RF_5_t11_pruned_with_sigma_0_3,15.0,0.6048129352903221,
RF_5_t12,0.0,0.24171349360811673,
RF_5_t12_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t12_pruned_with_sigma_0_1,2.0,0.3675136090774582,
RF_5_t12_pruned_with_sigma_0_2,8.0,0.7415628708207106,
RF_5_t12_pruned_with_sigma_0_3,11.0,0.5668734745662187,
RF_5_t13,0.0,0.24171349360811673,
RF_5_t13_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t13_pruned_with_sigma_0_1,2.0,0.3675136090774582,
RF_5_t13_pruned_with_sigma_0_2,4.0,0.4904079288447882,
RF_5_t13_pruned_with_sigma_0_3,8.0,0.5299133721528765,
RF_5_t14,0.0,0.24171349360811673,
RF_5_t14_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t14_pruned_with_sigma_0_1,1.0,0.3289685364267937,
RF_5_t14_pruned_with_sigma_0_2,3.0,0.5043840785661486,
RF_5_t14_pruned_with_sigma_0_3,6.0,0.44848811817563056,
RF_5_t15,0.0,0.24171349360811673,
RF_5_t15_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t15_pruned_with_sigma_0_1,1.0,0.3289685364267937,
RF_5_t15_pruned_with_sigma_0_2,2.0,0.48364807236319607,
RF_5_t15_pruned_with_sigma_0_3,4.0,0.389251253779209,
RF_5_t16,0.0,0.24171349360811673,
RF_5_t16_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t16_pruned_with_sigma_0_1,1.0,0.3289685364267937,
RF_5_t16_pruned_with_sigma_0_2,2.0,0.48364807236319607,
RF_5_t16_pruned_with_sigma_0_3,2.0,0.4841033702013581,
RF_5_t17,0.0,0.24171349360811673,
RF_5_t17_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t17_pruned_with_sigma_0_1,0.0,0.24171349360811673,
RF_5_t17_pruned_with_sigma_0_2,1.0,0.32829158886669196,
RF_5_t17_pruned_with_sigma_0_3,1.0,0.32829158886669196,
RF_5_t18,0.0,0.24171349360811673,
RF_5_t18_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t18_pruned_with_sigma_0_1,0.0,0.24171349360811673,
RF_5_t18_pruned_with_sigma_0_2,1.0,0.32829158886669196,
RF_5_t18_pruned_with_sigma_0_3,1.0,0.32829158886669196,
RF_5_t19,0.0,0.24171349360811673,
RF_5_t19_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t19_pruned_with_sigma_0_1,0.0,0.24171349360811673,
RF_5_t19_pruned_with_sigma_0_2,1.0,0.32829158886669196,
RF_5_t19_pruned_with_sigma_0_3,1.0,0.32829158886669196,
RF_5_t20,0.0,0.24171349360811673,
RF_5_t20_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t20_pruned_with_sigma_0_1,0.0,0.24171349360811673,
RF_5_t20_pruned_with_sigma_0_2,0.0,0.24171349360811673,
RF_5_t20_pruned_with_sigma_0_3,1.0,0.32829158886669196,
RF_5_t21,0.0,0.24171349360811673,
RF_5_t21_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t21_pruned_with_sigma_0_1,0.0,0.24171349360811673,
RF_5_t21_pruned_with_sigma_0_2,0.0,0.24171349360811673,
RF_5_t21_pruned_with_sigma_0_3,1.0,0.32829158886669196,
RF_5_t22,0.0,0.24171349360811673,
