 , RF_15, RF_15_pruned_with_sigma_0_0, RF_15_pruned_with_sigma_0_1, RF_15_pruned_with_sigma_0_2, RF_15_pruned_with_sigma_0_3
number of frequent subtrees (FS), 1499, 1277, 890, 797, 889
ratio of FS compared to RF_15, 1, 0.85, 0.59, 0.53, 0.59
average frequency of all FS, 4.76, 5.58, 7.3, 7.12, 6.14
average size of all FS, 1.02, 1.03, 1.15, 1.44, 1.64
