 , RF_20, RF_20_pruned_with_sigma_0_0, RF_20_pruned_with_sigma_0_1, RF_20_pruned_with_sigma_0_2, RF_20_pruned_with_sigma_0_3
number of frequent subtrees (FS), 7984, 8731, 9778, 10109, 10198
ratio of FS compared to RF_20, 1, 1.09, 1.22, 1.27, 1.28
average frequency of all FS, 3.7, 4.04, 3.83, 3.89, 3.98
average size of all FS, 1.93, 2.0, 2.09, 2.12, 2.17
number of FS of size 1, 1106, 652, 286, 223, 194
number of FS of size 2, 6360, 7417, 8367, 8427, 8071
number of FS of size 3, 510, 652, 1106, 1431, 1893
number of FS of size 4, 7, 9, 18, 27, 39
number of FS of size 5, 0, 0, 0, 0, 0
number of FS of size 6, 0, 0, 0, 0, 0
