 , RF_15, RF_15_pruned_with_sigma_0_0, RF_15_pruned_with_sigma_0_1, RF_15_pruned_with_sigma_0_2, RF_15_pruned_with_sigma_0_3
number of frequent subtrees (FS), 4019, 4520, 5176, 5455, 5571
ratio of FS compared to RF_15, 1, 1.12, 1.29, 1.36, 1.39
average frequency of all FS, 3.74, 3.96, 3.73, 3.73, 3.79
average size of all FS, 1.89, 1.92, 2.03, 2.07, 2.09
number of FS of size 1, 607, 530, 229, 177, 155
number of FS of size 2, 3249, 3809, 4561, 4745, 4757
number of FS of size 3, 158, 176, 377, 517, 641
number of FS of size 4, 4, 4, 8, 15, 17
number of FS of size 5, 0, 0, 0, 0, 0
number of FS of size 6, 0, 0, 0, 0, 0
