 , RF_5, RF_5_pruned_with_sigma_0_0, RF_5_pruned_with_sigma_0_1, RF_5_pruned_with_sigma_0_2, RF_5_pruned_with_sigma_0_3
number of frequent subtrees (FS), 135, 150, 142, 120, 113
ratio of FS compared to RF_5, 1, 1.11, 1.05, 0.89, 0.84
average frequency of all FS, 4.73, 4.62, 4.72, 4.77, 4.63
average size of all FS, 1.44, 1.46, 1.72, 1.81, 1.93
