Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
0,0,0.0,0.0,0,0,0,
0,1,2636.0,1036.0,0,0.718,0.282,
0,2,152.0,777.0,1,0.164,0.836,
0,3,0.0,0.0,0,0,0,
0,4,0.0,0.0,0,0,0,
1,0,0.0,0.0,0,0,0,
1,1,2764.0,1310.0,0,0.678,0.322,
1,2,24.0,503.0,1,0.046,0.954,
1,3,0.0,0.0,0,0,0,
1,4,0.0,0.0,0,0,0,
2,0,0.0,0.0,0,0,0,
2,1,2734.0,1132.0,0,0.707,0.293,
2,2,54.0,681.0,1,0.073,0.927,
2,3,0.0,0.0,0,0,0,
2,4,0.0,0.0,0,0,0,
3,0,0.0,0.0,0,0,0,
3,1,2228.0,729.0,0,0.753,0.247,
3,2,560.0,1084.0,1,0.341,0.659,
3,3,0.0,0.0,0,0,0,
3,4,0.0,0.0,0,0,0,
4,0,0.0,0.0,0,0,0,
4,1,2249.0,747.0,0,0.751,0.249,
4,2,539.0,1066.0,1,0.336,0.664,
4,3,0.0,0.0,0,0,0,
4,4,0.0,0.0,0,0,0,
5,0,0.0,0.0,0,0,0,
5,1,2620.0,989.0,0,0.726,0.274,
5,2,168.0,824.0,1,0.169,0.831,
5,3,0.0,0.0,0,0,0,
5,4,0.0,0.0,0,0,0,
6,0,0.0,0.0,0,0,0,
6,1,1295.0,724.0,0,0.641,0.359,
6,2,1493.0,1089.0,0,0.578,0.422,
6,3,0.0,0.0,0,0,0,
6,4,0.0,0.0,0,0,0,
7,0,0.0,0.0,0,0,0,
7,1,2735.0,1137.0,0,0.706,0.294,
7,2,53.0,676.0,1,0.073,0.927,
7,3,0.0,0.0,0,0,0,
7,4,0.0,0.0,0,0,0,
8,0,0.0,0.0,0,0,0,
8,1,2494.0,1733.0,0,0.59,0.41,
8,2,294.0,80.0,0,0.786,0.214,
8,3,0.0,0.0,0,0,0,
8,4,0.0,0.0,0,0,0,
9,0,0.0,0.0,0,0,0,
9,1,2098.0,1725.0,0,0.549,0.451,
9,2,690.0,88.0,0,0.887,0.113,
9,3,0.0,0.0,0,0,0,
9,4,0.0,0.0,0,0,0,
10,0,0.0,0.0,0,0,0,
10,1,2048.0,304.0,0,0.871,0.129,
10,2,740.0,1509.0,1,0.329,0.671,
10,3,0.0,0.0,0,0,0,
10,4,0.0,0.0,0,0,0,
11,0,0.0,0.0,0,0,0,
11,1,2060.0,1712.0,0,0.546,0.454,
11,2,728.0,101.0,0,0.878,0.122,
11,3,0.0,0.0,0,0,0,
11,4,0.0,0.0,0,0,0,
12,0,0.0,0.0,0,0,0,
12,1,2616.0,1002.0,0,0.723,0.277,
12,2,172.0,811.0,1,0.175,0.825,
12,3,0.0,0.0,0,0,0,
12,4,0.0,0.0,0,0,0,
13,0,0.0,0.0,0,0,0,
13,1,2338.0,1795.0,0,0.566,0.434,
13,2,450.0,18.0,0,0.962,0.038,
13,3,0.0,0.0,0,0,0,
13,4,0.0,0.0,0,0,0,
14,0,0.0,0.0,0,0,0,
14,1,2585.0,1811.0,0,0.588,0.412,
14,2,203.0,2.0,0,0.99,0.01,
14,3,0.0,0.0,0,0,0,
14,4,0.0,0.0,0,0,0,
15,0,0.0,0.0,0,0,0,
15,1,2214.0,717.0,0,0.755,0.245,
15,2,574.0,1096.0,1,0.344,0.656,
15,3,0.0,0.0,0,0,0,
15,4,0.0,0.0,0,0,0,
16,0,0.0,0.0,0,0,0,
16,1,1606.0,317.0,0,0.835,0.165,
16,2,1182.0,1496.0,1,0.441,0.559,
16,3,0.0,0.0,0,0,0,
16,4,0.0,0.0,0,0,0,
17,0,0.0,0.0,0,0,0,
17,1,2609.0,1333.0,0,0.662,0.338,
17,2,179.0,480.0,1,0.272,0.728,
17,3,0.0,0.0,0,0,0,
17,4,0.0,0.0,0,0,0,
18,0,0.0,0.0,0,0,0,
18,1,994.0,85.0,0,0.921,0.079,
18,2,1794.0,1728.0,0,0.509,0.491,
18,3,0.0,0.0,0,0,0,
18,4,0.0,0.0,0,0,0,
19,0,0.0,0.0,0,0,0,
19,1,2748.0,1261.0,0,0.685,0.315,
19,2,40.0,552.0,1,0.068,0.932,
19,3,0.0,0.0,0,0,0,
19,4,0.0,0.0,0,0,0,
20,0,0.0,0.0,0,0,0,
20,1,2748.0,1090.0,0,0.716,0.284,
20,2,40.0,723.0,1,0.052,0.948,
20,3,0.0,0.0,0,0,0,
20,4,0.0,0.0,0,0,0,
21,0,0.0,0.0,0,0,0,
21,1,2745.0,1053.0,0,0.723,0.277,
21,2,43.0,760.0,1,0.054,0.946,
