Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
0,0,0.0,0.0,0,0,0,
0,1,1363.0,159.0,0,0.896,0.104,
0,2,1425.0,1654.0,1,0.463,0.537,
1,0,0.0,0.0,0,0,0,
1,1,2245.0,417.0,0,0.843,0.157,
1,2,543.0,1396.0,1,0.28,0.72,
2,0,2788.0,1813.0,0,0.606,0.394,
2,1,0.0,0.0,0,0,0,
2,2,0.0,0.0,0,0,0,
3,0,0.0,0.0,0,0,0,
3,1,574.0,37.0,0,0.939,0.061,
3,2,2214.0,1776.0,0,0.555,0.445,
4,0,0.0,0.0,0,0,0,
4,1,769.0,63.0,0,0.924,0.076,
4,2,2019.0,1750.0,0,0.536,0.464,
5,0,0.0,0.0,0,0,0,
5,1,2615.0,773.0,0,0.772,0.228,
5,2,173.0,1040.0,1,0.143,0.857,
